Species,x,y
Symphyotrichum_boreale,-138.55,60.98
Symphyotrichum_boreale,-137.515943,60.802466
Symphyotrichum_boreale,-137.513655,60.748725
Symphyotrichum_boreale,-137.495025,60.80333
Symphyotrichum_boreale,-136.402,62.344
Symphyotrichum_boreale,-136.4,62.34
Symphyotrichum_boreale,-135.750264,59.334351
Symphyotrichum_boreale,-130.95,57.466667
Symphyotrichum_boreale,-126.15,59.38
Symphyotrichum_boreale,-126.104167,59.427778
Symphyotrichum_boreale,-125.493333,52.713333
Symphyotrichum_boreale,-125.416667,52.516667
Symphyotrichum_boreale,-125.051111,56.921111
Symphyotrichum_boreale,-124.133333,48.816667
Symphyotrichum_boreale,-121.38,62.85
Symphyotrichum_boreale,-121.345,61.861
Symphyotrichum_boreale,-121.34,61.86
Symphyotrichum_boreale,-121.273611,51.903056
Symphyotrichum_boreale,-121.083333,54.033333
Symphyotrichum_boreale,-120.616667,51.5
Symphyotrichum_boreale,-120.05,56.183333
Symphyotrichum_boreale,-119.67,65.73
Symphyotrichum_boreale,-119.25,52.833333
Symphyotrichum_boreale,-119.243156,52.819883
Symphyotrichum_boreale,-118.733333,50.466667
Symphyotrichum_boreale,-118.615897,56.125175
Symphyotrichum_boreale,-117.9,53.2
Symphyotrichum_boreale,-117.12,57.75
Symphyotrichum_boreale,-117.032691,47.780022
Symphyotrichum_boreale,-116.9690158,48.5947674
Symphyotrichum_boreale,-116.836181,48.628311
Symphyotrichum_boreale,-116.5,51.5
Symphyotrichum_boreale,-116.175731,48.145205
Symphyotrichum_boreale,-116.156751,48.145204
Symphyotrichum_boreale,-116.15422,48.148298
Symphyotrichum_boreale,-116.098736,44.911006
Symphyotrichum_boreale,-115.592867,43.917383
Symphyotrichum_boreale,-115.102828,51.860731
Symphyotrichum_boreale,-114.7435,47.52
Symphyotrichum_boreale,-114.6237,48.5437
Symphyotrichum_boreale,-114.5814,53.2497
Symphyotrichum_boreale,-114.3847,48.4069
Symphyotrichum_boreale,-114.212343,47.885779
Symphyotrichum_boreale,-114.2,55.133333
Symphyotrichum_boreale,-114.183333,55.116667
Symphyotrichum_boreale,-114.15,55.133333
Symphyotrichum_boreale,-114.0829,48.2183
Symphyotrichum_boreale,-114.069288,48.467188
Symphyotrichum_boreale,-113.631926,48.982607
Symphyotrichum_boreale,-113.49026,49.00291
Symphyotrichum_boreale,-113.151,48.532
Symphyotrichum_boreale,-113.0005743,46.9560024
Symphyotrichum_boreale,-112.631658,47.110506
Symphyotrichum_boreale,-112.628822,47.107253
Symphyotrichum_boreale,-112.4449,47.8498
Symphyotrichum_boreale,-112.25,60.1
Symphyotrichum_boreale,-112.246423,51.920052
Symphyotrichum_boreale,-112.233333,60.183333
Symphyotrichum_boreale,-111.83,59.97
Symphyotrichum_boreale,-111.566667,59.233333
Symphyotrichum_boreale,-111.41348,44.66296
Symphyotrichum_boreale,-111.410733,44.664914
Symphyotrichum_boreale,-111.393567,44.666867
Symphyotrichum_boreale,-111.378566,44.641311
Symphyotrichum_boreale,-111.209569,45.826478
Symphyotrichum_boreale,-111.146611,43.727091
Symphyotrichum_boreale,-111.038558,45.679653
Symphyotrichum_boreale,-111.03778,45.67972
Symphyotrichum_boreale,-110.969497,45.482315
Symphyotrichum_boreale,-110.8912,53.6976
Symphyotrichum_boreale,-110.082321,45.473146
Symphyotrichum_boreale,-109.7168,45.3705
Symphyotrichum_boreale,-108.216667,55.6
Symphyotrichum_boreale,-107.672022,39.91272
Symphyotrichum_boreale,-106.116667,52.833333
Symphyotrichum_boreale,-106.029912,53.906263
Symphyotrichum_boreale,-106.0,52.94436
Symphyotrichum_boreale,-105.754042,53.200069
Symphyotrichum_boreale,-105.751964,41.364718
Symphyotrichum_boreale,-105.515622,39.995822
Symphyotrichum_boreale,-105.511537,39.993328
Symphyotrichum_boreale,-105.503756,38.09014
Symphyotrichum_boreale,-105.478758,40.183294
Symphyotrichum_boreale,-105.46398,39.952645
Symphyotrichum_boreale,-105.448904,40.483911
Symphyotrichum_boreale,-105.437776,53.841539
Symphyotrichum_boreale,-105.25,53.833333
Symphyotrichum_boreale,-104.966335,39.427703
Symphyotrichum_boreale,-104.943179,40.898975
Symphyotrichum_boreale,-104.19778,48.554386
Symphyotrichum_boreale,-104.083333,53.45
Symphyotrichum_boreale,-103.9167,44.35
Symphyotrichum_boreale,-103.881055,44.124314
Symphyotrichum_boreale,-103.84501,44.03168
Symphyotrichum_boreale,-103.841834,44.02696
Symphyotrichum_boreale,-103.83645,44.03048
Symphyotrichum_boreale,-103.832577,44.148866
Symphyotrichum_boreale,-103.82502,44.0172
Symphyotrichum_boreale,-103.822169,44.148444
Symphyotrichum_boreale,-103.80643,43.97752
Symphyotrichum_boreale,-103.78528,44.02917
Symphyotrichum_boreale,-103.708808,44.416651
Symphyotrichum_boreale,-103.524197,43.828128
Symphyotrichum_boreale,-103.25,52.6
Symphyotrichum_boreale,-103.222127,47.073654
Symphyotrichum_boreale,-101.584673,48.304439
Symphyotrichum_boreale,-101.480236,42.401283
Symphyotrichum_boreale,-101.477774,42.418131
Symphyotrichum_boreale,-101.47442,42.08539
Symphyotrichum_boreale,-101.117621,43.005864
Symphyotrichum_boreale,-101.024047,42.346539
Symphyotrichum_boreale,-100.951109,42.317256
Symphyotrichum_boreale,-100.665419,47.838058
Symphyotrichum_boreale,-100.55097,42.83657
Symphyotrichum_boreale,-100.542626,42.395929
Symphyotrichum_boreale,-100.405412,48.345832
Symphyotrichum_boreale,-100.22241,46.32457
Symphyotrichum_boreale,-100.106764,48.934239
Symphyotrichum_boreale,-100.00622,46.48439
Symphyotrichum_boreale,-99.97248,42.245363
Symphyotrichum_boreale,-99.9,50.658333
Symphyotrichum_boreale,-99.87712,47.31725
Symphyotrichum_boreale,-99.841711,46.767523
Symphyotrichum_boreale,-99.803333,50.675
Symphyotrichum_boreale,-99.787202,54.617187
Symphyotrichum_boreale,-99.7515,46.8686
Symphyotrichum_boreale,-99.636496,46.874985
Symphyotrichum_boreale,-99.53018,47.05402
Symphyotrichum_boreale,-98.914947,45.905572
Symphyotrichum_boreale,-98.71011,47.76816
Symphyotrichum_boreale,-98.332218,41.930936
Symphyotrichum_boreale,-98.043635,46.680799
Symphyotrichum_boreale,-98.013231,47.102347
Symphyotrichum_boreale,-97.98445,47.60358
Symphyotrichum_boreale,-96.680621,44.634581
Symphyotrichum_boreale,-96.608121,47.779928
Symphyotrichum_boreale,-96.600066,47.782001
Symphyotrichum_boreale,-96.54293,50.409019
Symphyotrichum_boreale,-96.448899,47.723974
Symphyotrichum_boreale,-96.44879,47.73852
Symphyotrichum_boreale,-96.447104,47.071261
Symphyotrichum_boreale,-96.44,45.27
Symphyotrichum_boreale,-96.429592,44.681835
Symphyotrichum_boreale,-96.416687,47.716767
Symphyotrichum_boreale,-96.377778,48.175556
Symphyotrichum_boreale,-96.377777,48.175556
Symphyotrichum_boreale,-96.376489,47.448741
Symphyotrichum_boreale,-96.360317,48.071708
Symphyotrichum_boreale,-96.353808,47.187516
Symphyotrichum_boreale,-96.35,48.9
Symphyotrichum_boreale,-96.341088,47.709227
Symphyotrichum_boreale,-96.305277,48.812326
Symphyotrichum_boreale,-96.275,48.409722
Symphyotrichum_boreale,-96.15072,48.986735
Symphyotrichum_boreale,-96.14142,47.115026
Symphyotrichum_boreale,-96.127502,43.952221
Symphyotrichum_boreale,-96.09878,47.2459
Symphyotrichum_boreale,-95.968887,43.924168
Symphyotrichum_boreale,-95.944434,47.115314
Symphyotrichum_boreale,-95.943662,47.173142
Symphyotrichum_boreale,-95.92678,47.088304
Symphyotrichum_boreale,-95.925956,46.173706
Symphyotrichum_boreale,-95.916368,48.324005
Symphyotrichum_boreale,-95.869122,47.368425
Symphyotrichum_boreale,-95.867848,45.072358
Symphyotrichum_boreale,-95.731393,46.846968
Symphyotrichum_boreale,-95.720288,47.899226
Symphyotrichum_boreale,-95.719383,46.941707
Symphyotrichum_boreale,-95.717658,46.32559
Symphyotrichum_boreale,-95.707398,46.063883
Symphyotrichum_boreale,-95.631156,46.274961
Symphyotrichum_boreale,-95.461113,44.663055
Symphyotrichum_boreale,-95.448751,45.628755
Symphyotrichum_boreale,-95.444479,45.586015
Symphyotrichum_boreale,-95.441271,47.782628
Symphyotrichum_boreale,-95.420086,48.982478
Symphyotrichum_boreale,-95.418898,48.663272
Symphyotrichum_boreale,-95.376388,45.650249
Symphyotrichum_boreale,-95.364961,49.001303
Symphyotrichum_boreale,-95.311915,47.796844
Symphyotrichum_boreale,-95.310128,48.547248
Symphyotrichum_boreale,-95.233216,47.19557
Symphyotrichum_boreale,-95.201495,47.217521
Symphyotrichum_boreale,-95.18093,48.561788
Symphyotrichum_boreale,-95.161775,47.173602
Symphyotrichum_boreale,-95.160702,47.174244
Symphyotrichum_boreale,-95.158907,48.648569
Symphyotrichum_boreale,-95.086944,48.483056
Symphyotrichum_boreale,-95.086883,48.482933
Symphyotrichum_boreale,-94.90595,46.18682
Symphyotrichum_boreale,-94.871126,48.259416
Symphyotrichum_boreale,-94.810311,47.533209
Symphyotrichum_boreale,-94.66694,43.37444
Symphyotrichum_boreale,-94.48011,43.825466
Symphyotrichum_boreale,-94.38182,46.301178
Symphyotrichum_boreale,-94.370741,48.33103
Symphyotrichum_boreale,-94.322053,45.543642
Symphyotrichum_boreale,-94.198919,45.86753
Symphyotrichum_boreale,-94.184588,46.898227
Symphyotrichum_boreale,-94.124,58.718
Symphyotrichum_boreale,-94.12,58.72
Symphyotrichum_boreale,-94.106495,47.542497
Symphyotrichum_boreale,-94.105632,47.332682
Symphyotrichum_boreale,-94.092419,48.128753
Symphyotrichum_boreale,-94.083333,57.633333
Symphyotrichum_boreale,-94.068583,44.152457
Symphyotrichum_boreale,-94.065982,45.332932
Symphyotrichum_boreale,-94.018357,47.042714
Symphyotrichum_boreale,-93.960031,48.533901
Symphyotrichum_boreale,-93.919172,44.348192
Symphyotrichum_boreale,-93.864545,44.803438
Symphyotrichum_boreale,-93.828251,44.760626
Symphyotrichum_boreale,-93.827753,44.8476
Symphyotrichum_boreale,-93.769525,45.552286
Symphyotrichum_boreale,-93.755805,46.106434
Symphyotrichum_boreale,-93.673835,47.408009
Symphyotrichum_boreale,-93.652317,47.422413
Symphyotrichum_boreale,-93.522886,47.303834
Symphyotrichum_boreale,-93.47838,48.022554
Symphyotrichum_boreale,-93.476877,45.004579
Symphyotrichum_boreale,-93.47,45.0
Symphyotrichum_boreale,-93.369003,44.768126
Symphyotrichum_boreale,-93.337739,46.54108
Symphyotrichum_boreale,-93.337651,46.526496
Symphyotrichum_boreale,-93.336389,44.727778
Symphyotrichum_boreale,-93.326961,45.255169
Symphyotrichum_boreale,-93.316653,46.795238
Symphyotrichum_boreale,-93.292769,46.606613
Symphyotrichum_boreale,-93.278618,44.783133
Symphyotrichum_boreale,-93.278336,43.897778
Symphyotrichum_boreale,-93.268644,44.969277
Symphyotrichum_boreale,-93.263836,44.979965
Symphyotrichum_boreale,-93.244333,46.731563
Symphyotrichum_boreale,-93.24,45.27
Symphyotrichum_boreale,-93.237021,44.969959
Symphyotrichum_boreale,-93.2325,48.489722
Symphyotrichum_boreale,-93.217652,44.811951
Symphyotrichum_boreale,-93.202145,46.731105
Symphyotrichum_boreale,-93.193727,45.406779
Symphyotrichum_boreale,-93.172301,48.075085
Symphyotrichum_boreale,-93.111047,45.34899
Symphyotrichum_boreale,-93.081463,45.340658
Symphyotrichum_boreale,-93.045502,45.079894
Symphyotrichum_boreale,-93.038198,48.592418
Symphyotrichum_boreale,-93.03532,47.69844
Symphyotrichum_boreale,-92.997351,46.809923
Symphyotrichum_boreale,-92.937689,47.427155
Symphyotrichum_boreale,-92.902898,46.787954
Symphyotrichum_boreale,-92.889938,45.373576
Symphyotrichum_boreale,-92.878995,48.382027
Symphyotrichum_boreale,-92.83619,45.42608
Symphyotrichum_boreale,-92.625557,43.894722
Symphyotrichum_boreale,-92.603244,47.292402
Symphyotrichum_boreale,-92.51,57.16
Symphyotrichum_boreale,-92.506,57.164
Symphyotrichum_boreale,-92.495543,44.555216
Symphyotrichum_boreale,-92.464905,47.488816
Symphyotrichum_boreale,-92.46377,47.49024
Symphyotrichum_boreale,-92.340179,47.446132
Symphyotrichum_boreale,-92.238881,47.241698
Symphyotrichum_boreale,-92.086389,46.822939
Symphyotrichum_boreale,-91.947469,50.085824
Symphyotrichum_boreale,-91.867087,47.903237
Symphyotrichum_boreale,-91.8,49.45
Symphyotrichum_boreale,-91.779129,43.98685
Symphyotrichum_boreale,-91.748027,43.997785
Symphyotrichum_boreale,-91.685552,47.609914
Symphyotrichum_boreale,-91.629722,47.686111
Symphyotrichum_boreale,-91.551389,47.770556
Symphyotrichum_boreale,-91.543056,47.769722
Symphyotrichum_boreale,-91.533611,47.802222
Symphyotrichum_boreale,-91.367055,47.817998
Symphyotrichum_boreale,-91.287329,47.808611
Symphyotrichum_boreale,-91.203395,47.394627
Symphyotrichum_boreale,-90.7688,49.1387
Symphyotrichum_boreale,-90.709827,49.295107
Symphyotrichum_boreale,-90.325243,47.777456
Symphyotrichum_boreale,-90.183333,48.233333
Symphyotrichum_boreale,-90.115982,44.301921
Symphyotrichum_boreale,-90.04601,48.057476
Symphyotrichum_boreale,-90.02419,48.057888
Symphyotrichum_boreale,-90.017138,46.129832
Symphyotrichum_boreale,-89.909476,46.166998
Symphyotrichum_boreale,-89.847087,44.003597
Symphyotrichum_boreale,-89.70286,45.432001
Symphyotrichum_boreale,-89.697791,44.328453
Symphyotrichum_boreale,-89.64886,43.619286
Symphyotrichum_boreale,-89.355514,42.996364
Symphyotrichum_boreale,-89.281074,43.874563
Symphyotrichum_boreale,-89.233333,48.4
Symphyotrichum_boreale,-89.183333,48.45
Symphyotrichum_boreale,-89.128883,43.952335
Symphyotrichum_boreale,-89.127558,43.208454
Symphyotrichum_boreale,-89.125401,43.92318
Symphyotrichum_boreale,-89.037467,43.86095
Symphyotrichum_boreale,-88.947002,43.059042
Symphyotrichum_boreale,-88.671498,42.796728
Symphyotrichum_boreale,-88.638162,44.334705
Symphyotrichum_boreale,-88.610694,42.820653
Symphyotrichum_boreale,-88.541922,42.668477
Symphyotrichum_boreale,-88.512039,42.850516
Symphyotrichum_boreale,-88.434117,42.806957
Symphyotrichum_boreale,-88.4333,41.95
Symphyotrichum_boreale,-88.37397,42.995182
Symphyotrichum_boreale,-88.297034,42.392243
Symphyotrichum_boreale,-88.266753,42.333355
Symphyotrichum_boreale,-88.241654,42.725754
Symphyotrichum_boreale,-88.190634,43.476107
Symphyotrichum_boreale,-88.188888,42.45197
Symphyotrichum_boreale,-88.039303,42.502279
Symphyotrichum_boreale,-88.038442,42.908357
Symphyotrichum_boreale,-87.906474,43.038902
Symphyotrichum_boreale,-87.802592,42.451068
Symphyotrichum_boreale,-87.650052,41.850033
Symphyotrichum_boreale,-87.376386,41.472212
Symphyotrichum_boreale,-87.373119,44.949407
Symphyotrichum_boreale,-87.287931,51.270983
Symphyotrichum_boreale,-87.286766,51.271559
Symphyotrichum_boreale,-87.267024,48.809461
Symphyotrichum_boreale,-86.910294,52.769322
Symphyotrichum_boreale,-86.663456,52.155675
Symphyotrichum_boreale,-86.493309,46.328748
Symphyotrichum_boreale,-86.444233,52.255715
Symphyotrichum_boreale,-86.24744,46.39875
Symphyotrichum_boreale,-85.7641,44.845447
Symphyotrichum_boreale,-85.466601,44.673175
Symphyotrichum_boreale,-85.44803,44.17229
Symphyotrichum_boreale,-85.333333,55.083333
Symphyotrichum_boreale,-85.029253,46.556409
Symphyotrichum_boreale,-84.824945,44.288858
Symphyotrichum_boreale,-84.818725,41.736579
Symphyotrichum_boreale,-84.811457,41.73879
Symphyotrichum_boreale,-84.77965,41.770332
Symphyotrichum_boreale,-84.777982,45.902741
Symphyotrichum_boreale,-84.714751,44.661404
Symphyotrichum_boreale,-84.65972,43.37889
Symphyotrichum_boreale,-84.533464,46.891466
Symphyotrichum_boreale,-84.482658,45.991975
Symphyotrichum_boreale,-84.40057,42.75802
Symphyotrichum_boreale,-84.32708,42.06222
Symphyotrichum_boreale,-84.27393,42.15697
Symphyotrichum_boreale,-84.23482,42.02485
Symphyotrichum_boreale,-84.194464,45.975853
Symphyotrichum_boreale,-84.161221,42.066186
Symphyotrichum_boreale,-84.01614,42.4457
Symphyotrichum_boreale,-83.82823,42.501761
Symphyotrichum_boreale,-83.794307,42.282273
Symphyotrichum_boreale,-83.687456,43.012527
Symphyotrichum_boreale,-83.24408,50.817612
Symphyotrichum_boreale,-82.80852,41.400052
Symphyotrichum_boreale,-82.80618,41.415579
Symphyotrichum_boreale,-82.719859,50.730149
Symphyotrichum_boreale,-82.465322,45.704223
Symphyotrichum_boreale,-82.425581,52.93333
Symphyotrichum_boreale,-82.42491,42.97086
Symphyotrichum_boreale,-81.983333,52.75
Symphyotrichum_boreale,-81.779762,45.515987
Symphyotrichum_boreale,-81.736112,45.473569
Symphyotrichum_boreale,-81.552637,45.124804
Symphyotrichum_boreale,-81.504693,45.064403
Symphyotrichum_boreale,-81.490003,44.406962
Symphyotrichum_boreale,-81.416667,45.166667
Symphyotrichum_boreale,-81.26913,44.63623
Symphyotrichum_boreale,-81.266667,44.733333
Symphyotrichum_boreale,-81.257408,44.625745
Symphyotrichum_boreale,-81.086051,42.816836
Symphyotrichum_boreale,-80.928567,51.110271
Symphyotrichum_boreale,-80.914277,44.369868
Symphyotrichum_boreale,-80.738909,43.132956
Symphyotrichum_boreale,-80.581288,43.419166
Symphyotrichum_boreale,-80.565517,51.603181
Symphyotrichum_boreale,-80.349502,43.294087
Symphyotrichum_boreale,-80.336813,43.234037
Symphyotrichum_boreale,-80.333728,43.234127
Symphyotrichum_boreale,-80.315904,43.311335
Symphyotrichum_boreale,-80.265639,43.417389
Symphyotrichum_boreale,-80.256675,43.425858
Symphyotrichum_boreale,-80.166667,50.15
Symphyotrichum_boreale,-80.144997,43.410596
Symphyotrichum_boreale,-80.121192,43.549945
Symphyotrichum_boreale,-80.119475,43.878912
Symphyotrichum_boreale,-80.111017,43.881361
Symphyotrichum_boreale,-80.103272,43.418175
Symphyotrichum_boreale,-80.103153,43.418108
Symphyotrichum_boreale,-80.064651,43.544041
Symphyotrichum_boreale,-80.061961,43.442236
Symphyotrichum_boreale,-79.993333,44.496667
Symphyotrichum_boreale,-79.866667,44.866667
Symphyotrichum_boreale,-79.61643,43.98339
Symphyotrichum_boreale,-79.608333,51.275
Symphyotrichum_boreale,-79.605851,47.482692
Symphyotrichum_boreale,-79.508333,44.2
Symphyotrichum_boreale,-79.5,44.116667
Symphyotrichum_boreale,-79.499645,44.002508
Symphyotrichum_boreale,-79.368602,43.732195
Symphyotrichum_boreale,-79.316667,48.65
Symphyotrichum_boreale,-79.15,43.766667
Symphyotrichum_boreale,-79.066667,53.7
Symphyotrichum_boreale,-79.020758,44.751178
Symphyotrichum_boreale,-79.013889,53.691667
Symphyotrichum_boreale,-79.0,53.686667
Symphyotrichum_boreale,-79.0,53.716667
Symphyotrichum_boreale,-78.816667,44.116667
Symphyotrichum_boreale,-78.776111,51.956667
Symphyotrichum_boreale,-78.733611,51.487222
Symphyotrichum_boreale,-78.723889,51.486389
Symphyotrichum_boreale,-78.716667,51.977778
Symphyotrichum_boreale,-78.666667,50.866667
Symphyotrichum_boreale,-78.583333,44.441667
Symphyotrichum_boreale,-78.146178,44.235455
Symphyotrichum_boreale,-78.040445,44.946168
Symphyotrichum_boreale,-77.88437,44.656662
Symphyotrichum_boreale,-77.883333,50.666667
Symphyotrichum_boreale,-77.765833,48.142222
Symphyotrichum_boreale,-77.725,43.991667
Symphyotrichum_boreale,-77.492647,43.058356
Symphyotrichum_boreale,-77.433333,50.216667
Symphyotrichum_boreale,-77.310839,44.586938
Symphyotrichum_boreale,-77.235764,44.466943
Symphyotrichum_boreale,-77.112794,44.407312
Symphyotrichum_boreale,-77.109587,44.419855
Symphyotrichum_boreale,-76.916667,49.783333
Symphyotrichum_boreale,-76.883333,44.991667
Symphyotrichum_boreale,-76.8,45.35
Symphyotrichum_boreale,-76.48819,45.33453
Symphyotrichum_boreale,-76.469,55.1847
Symphyotrichum_boreale,-76.208683,43.463886
Symphyotrichum_boreale,-76.165204,43.59874
Symphyotrichum_boreale,-76.010005,44.820026
Symphyotrichum_boreale,-75.980862,45.458372
Symphyotrichum_boreale,-75.904005,42.856775
Symphyotrichum_boreale,-75.72311,44.69618
Symphyotrichum_boreale,-75.351604,44.279445
Symphyotrichum_boreale,-74.95,46.4
Symphyotrichum_boreale,-74.848883,42.860914
Symphyotrichum_boreale,-74.690315,45.273632
Symphyotrichum_boreale,-74.183333,54.866667
Symphyotrichum_boreale,-73.411667,50.814861
Symphyotrichum_boreale,-73.355556,52.026389
Symphyotrichum_boreale,-73.1323,44.22759
Symphyotrichum_boreale,-73.11138,44.13111
Symphyotrichum_boreale,-73.07059,44.12435
Symphyotrichum_boreale,-72.921111,52.162778
Symphyotrichum_boreale,-71.9025,45.418889
Symphyotrichum_boreale,-71.13138,44.78027
Symphyotrichum_boreale,-70.17013,41.70474
Symphyotrichum_boreale,-68.666667,47.75
Symphyotrichum_boreale,-67.347154,48.426087
Symphyotrichum_boreale,-65.259458,48.058733
Symphyotrichum_boreale,-65.259329,48.058618
Symphyotrichum_boreale,-64.042295,47.006045
Symphyotrichum_boreale,-62.954167,49.466667
Symphyotrichum_boreale,-62.810556,49.489167
Symphyotrichum_boreale,-62.64911,46.3157
Symphyotrichum_boreale,-62.600901,46.296013
Symphyotrichum_boreale,-61.75,49.1
Symphyotrichum_boreale,-61.736574,49.20343
Symphyotrichum_boreale,-61.14743,45.838943
