Species,x,y
Symphyotrichum_bracteolatum,-123.709472,41.593944
Symphyotrichum_bracteolatum,-123.705694,41.592806
Symphyotrichum_bracteolatum,-123.702694,41.58375
Symphyotrichum_bracteolatum,-123.692944,41.587139
Symphyotrichum_bracteolatum,-123.689139,40.809417
Symphyotrichum_bracteolatum,-123.677373,40.779179
Symphyotrichum_bracteolatum,-123.626778,41.881778
Symphyotrichum_bracteolatum,-123.62,41.875556
Symphyotrichum_bracteolatum,-123.481361,41.105833
Symphyotrichum_bracteolatum,-123.48025,41.110917
Symphyotrichum_bracteolatum,-123.470556,41.084583
Symphyotrichum_bracteolatum,-123.465722,41.085444
Symphyotrichum_bracteolatum,-123.464972,41.08375
Symphyotrichum_bracteolatum,-123.46275,41.082056
Symphyotrichum_bracteolatum,-123.411972,41.172611
Symphyotrichum_bracteolatum,-123.391667,48.516667
Symphyotrichum_bracteolatum,-122.9199341,41.5803268
Symphyotrichum_bracteolatum,-122.8094,42.6486
Symphyotrichum_bracteolatum,-122.773892,41.280133
Symphyotrichum_bracteolatum,-122.670233,41.259063
Symphyotrichum_bracteolatum,-121.665138,41.162633
Symphyotrichum_bracteolatum,-121.6438,44.4573
Symphyotrichum_bracteolatum,-121.55,52.566667
Symphyotrichum_bracteolatum,-121.164142,40.49957
Symphyotrichum_bracteolatum,-120.675,39.883333
Symphyotrichum_bracteolatum,-120.621,39.8806
Symphyotrichum_bracteolatum,-120.280833,41.273889
Symphyotrichum_bracteolatum,-120.241226,39.431461
Symphyotrichum_bracteolatum,-120.241223,39.431465
Symphyotrichum_bracteolatum,-120.241197,39.431463
Symphyotrichum_bracteolatum,-120.240487,39.431898
Symphyotrichum_bracteolatum,-120.234428,39.433865
Symphyotrichum_bracteolatum,-120.19808,39.433639
Symphyotrichum_bracteolatum,-120.15024,42.3881
Symphyotrichum_bracteolatum,-119.8975,42.323054
Symphyotrichum_bracteolatum,-119.78167,38.69611
Symphyotrichum_bracteolatum,-119.32707,44.08314
Symphyotrichum_bracteolatum,-119.233333,50.275
Symphyotrichum_bracteolatum,-119.168245,38.076115
Symphyotrichum_bracteolatum,-119.150974,38.018736
Symphyotrichum_bracteolatum,-119.139016,37.982787
Symphyotrichum_bracteolatum,-119.021389,36.735556
Symphyotrichum_bracteolatum,-119.001023,36.858864
Symphyotrichum_bracteolatum,-118.866667,36.829167
Symphyotrichum_bracteolatum,-118.829167,36.827778
Symphyotrichum_bracteolatum,-118.548056,36.812222
Symphyotrichum_bracteolatum,-118.5446,44.6139
Symphyotrichum_bracteolatum,-118.383333,37.491667
Symphyotrichum_bracteolatum,-118.164538,37.530493
Symphyotrichum_bracteolatum,-118.164252,37.530431
Symphyotrichum_bracteolatum,-118.0626,44.9126
Symphyotrichum_bracteolatum,-117.784058,45.1011
Symphyotrichum_bracteolatum,-117.34363,45.4264
Symphyotrichum_bracteolatum,-117.28171,45.49299
Symphyotrichum_bracteolatum,-117.1631,42.545
Symphyotrichum_bracteolatum,-116.85,49.633333
Symphyotrichum_bracteolatum,-116.844822,48.609648
Symphyotrichum_bracteolatum,-115.766667,50.216667
Symphyotrichum_bracteolatum,-115.483333,49.433333
Symphyotrichum_bracteolatum,-115.483333,49.533333
Symphyotrichum_bracteolatum,-115.454006,36.068917
Symphyotrichum_bracteolatum,-115.454002,36.068829
Symphyotrichum_bracteolatum,-114.5,49.083333
Symphyotrichum_bracteolatum,-113.948769,44.975518
Symphyotrichum_bracteolatum,-113.44207,44.052797
Symphyotrichum_bracteolatum,-112.359383,42.691303
Symphyotrichum_bracteolatum,-110.921528,43.505222
Symphyotrichum_bracteolatum,-110.7075,44.9683
Symphyotrichum_bracteolatum,-108.861811,49.435244
Symphyotrichum_bracteolatum,-106.932517,37.490373
Symphyotrichum_bracteolatum,-106.733752,39.121484
