Species,x,y
Symphyotrichum_bullatum,-99.71,23.99
Symphyotrichum_bullatum,-98.3489,20.4317
Symphyotrichum_bullatum,-97.93333,17.45
Symphyotrichum_bullatum,-97.8,17.25
Symphyotrichum_bullatum,-97.53621,19.91825
Symphyotrichum_bullatum,-97.5362,19.9183
Symphyotrichum_bullatum,-97.50725,20.00375
Symphyotrichum_bullatum,-97.5072,20.0038
Symphyotrichum_bullatum,-97.216667,19.966667
Symphyotrichum_bullatum,-97.091667,16.168333
Symphyotrichum_bullatum,-96.995,19.59
Symphyotrichum_bullatum,-96.85,19.21
Symphyotrichum_bullatum,-96.794098,19.425066
Symphyotrichum_bullatum,-96.683,19.217
Symphyotrichum_bullatum,-96.46889,19.31722
Symphyotrichum_bullatum,-96.11583,18.65917
Symphyotrichum_bullatum,-96.08094,16.50108
Symphyotrichum_bullatum,-95.98875,16.43775
Symphyotrichum_bullatum,-95.98547,16.43492
Symphyotrichum_bullatum,-95.98003,16.43239
Symphyotrichum_bullatum,-95.97947,16.43244
Symphyotrichum_bullatum,-95.87275,16.60947
Symphyotrichum_bullatum,-94.86667,18.23333
Symphyotrichum_bullatum,-94.86667,18.35
Symphyotrichum_bullatum,-94.866667,18.233333
Symphyotrichum_bullatum,-93.62222,16.26638
Symphyotrichum_bullatum,-93.62222,16.26639
Symphyotrichum_bullatum,-93.5436,16.2958
Symphyotrichum_bullatum,-93.48,16.79
Symphyotrichum_bullatum,-93.0,16.667
Symphyotrichum_bullatum,-92.77833,16.93583
Symphyotrichum_bullatum,-92.673889,16.717778
Symphyotrichum_bullatum,-92.672375,16.724428
Symphyotrichum_bullatum,-92.659644,16.720901
Symphyotrichum_bullatum,-92.659562,16.720785
Symphyotrichum_bullatum,-92.659203,16.720793
Symphyotrichum_bullatum,-92.620668,16.71228
Symphyotrichum_bullatum,-92.614722,16.713611
Symphyotrichum_bullatum,-92.61472,16.71361
Symphyotrichum_bullatum,-92.5,16.533
Symphyotrichum_bullatum,-92.5,16.53333
Symphyotrichum_bullatum,-92.250556,16.822778
Symphyotrichum_bullatum,-92.250555,16.822778
Symphyotrichum_bullatum,-92.247222,16.8225
Symphyotrichum_bullatum,-92.108333,16.908333
Symphyotrichum_bullatum,-92.098611,16.981944
Symphyotrichum_bullatum,-91.006667,15.341667
Symphyotrichum_bullatum,-90.96,16.101667
Symphyotrichum_bullatum,-90.929722,16.111111
Symphyotrichum_bullatum,-90.3714,15.4708
Symphyotrichum_bullatum,-90.370833,15.470833
Symphyotrichum_bullatum,-90.189801,15.111044
Symphyotrichum_bullatum,-90.165556,15.112778
Symphyotrichum_bullatum,-89.366667,16.108333
Symphyotrichum_bullatum,-89.116667,14.866667
Symphyotrichum_bullatum,-88.933333,16.816667
Symphyotrichum_bullatum,-88.783333,14.766667
Symphyotrichum_bullatum,-88.544444,14.569167
Symphyotrichum_bullatum,-88.41666,14.4
Symphyotrichum_bullatum,-88.202778,14.298889
Symphyotrichum_bullatum,-88.1825,14.307778
Symphyotrichum_bullatum,-87.983333,14.866667
Symphyotrichum_bullatum,-87.866667,14.016667
Symphyotrichum_bullatum,-87.645833,14.765278
Symphyotrichum_bullatum,-87.4075,14.293056
Symphyotrichum_bullatum,-87.342778,14.144444
Symphyotrichum_bullatum,-85.916667,15.916667
