Species,x,y
Symphyotrichum_carnerosanum,-102.267,25.433
Symphyotrichum_carnerosanum,-102.26667,25.43333
Symphyotrichum_carnerosanum,-100.98333,25.33333
Symphyotrichum_carnerosanum,-100.85,25.467
Symphyotrichum_carnerosanum,-100.65,25.33333
Symphyotrichum_carnerosanum,-100.583,25.367
Symphyotrichum_carnerosanum,-100.58,25.37
Symphyotrichum_carnerosanum,-100.575342,25.337653
Symphyotrichum_carnerosanum,-100.51667,25.35
Symphyotrichum_carnerosanum,-100.384191,25.217902
Symphyotrichum_carnerosanum,-100.37583,25.22611
Symphyotrichum_carnerosanum,-100.371899,25.20749
Symphyotrichum_carnerosanum,-100.352053,25.20321
Symphyotrichum_carnerosanum,-100.32,24.93
Symphyotrichum_carnerosanum,-100.30831,25.67108
Symphyotrichum_carnerosanum,-100.26667,25.2
Symphyotrichum_carnerosanum,-100.228694,25.274876
Symphyotrichum_carnerosanum,-100.18,24.84
Symphyotrichum_carnerosanum,-100.11667,25.08333
Symphyotrichum_carnerosanum,-100.11667,25.18333
Symphyotrichum_carnerosanum,-100.036842,24.736706
Symphyotrichum_carnerosanum,-99.974121,25.107893
Symphyotrichum_carnerosanum,-99.91,24.55
Symphyotrichum_carnerosanum,-99.82,24.1
Symphyotrichum_carnerosanum,-99.46,25.0
Symphyotrichum_carnerosanum,-100.65,25.3333
Symphyotrichum_carnerosanum,-100.396639,25.225083
