Species,x,y
Symphyotrichum_chapmanii,-86.070969,30.309422
Symphyotrichum_chapmanii,-85.929629,30.702168
Symphyotrichum_chapmanii,-85.646029,30.235097
Symphyotrichum_chapmanii,-85.558082,31.008772
Symphyotrichum_chapmanii,-85.17982,30.178761
Symphyotrichum_chapmanii,-85.166902,29.736241
Symphyotrichum_chapmanii,-85.066375,30.135378
Symphyotrichum_chapmanii,-85.045195,30.399979
Symphyotrichum_chapmanii,-85.039022,30.091529
Symphyotrichum_chapmanii,-85.016864,30.57575
Symphyotrichum_chapmanii,-85.014972,30.059051
Symphyotrichum_chapmanii,-85.005202,30.115698
Symphyotrichum_chapmanii,-84.997562,30.051482
Symphyotrichum_chapmanii,-84.983856,29.994994
Symphyotrichum_chapmanii,-84.9836,30.0576
Symphyotrichum_chapmanii,-84.94112,29.90488
Symphyotrichum_chapmanii,-84.884793,30.045271
Symphyotrichum_chapmanii,-84.848522,30.084454
Symphyotrichum_chapmanii,-84.841799,30.045544
Symphyotrichum_chapmanii,-84.812147,30.199211
Symphyotrichum_chapmanii,-84.811517,30.116617
Symphyotrichum_chapmanii,-84.16786,30.199193
