Species,x,y
Symphyotrichum_ciliolatum,-127.666667,55.25
Symphyotrichum_ciliolatum,-127.204548,54.832487
Symphyotrichum_ciliolatum,-126.559557,54.448573
Symphyotrichum_ciliolatum,-126.365833,59.514444
Symphyotrichum_ciliolatum,-126.093333,52.775
Symphyotrichum_ciliolatum,-125.816667,59.466667
Symphyotrichum_ciliolatum,-125.770833,59.000833
Symphyotrichum_ciliolatum,-125.566667,59.366667
Symphyotrichum_ciliolatum,-125.566667,60.383333
Symphyotrichum_ciliolatum,-125.493333,52.713333
Symphyotrichum_ciliolatum,-125.3575,58.861111
Symphyotrichum_ciliolatum,-125.051111,56.921111
Symphyotrichum_ciliolatum,-125.05,58.925
Symphyotrichum_ciliolatum,-124.991944,56.936944
Symphyotrichum_ciliolatum,-124.895633,57.346983
Symphyotrichum_ciliolatum,-124.45,61.25
Symphyotrichum_ciliolatum,-124.315528,54.025878
Symphyotrichum_ciliolatum,-124.076111,56.267222
Symphyotrichum_ciliolatum,-123.05,51.7
Symphyotrichum_ciliolatum,-122.8,57.38
Symphyotrichum_ciliolatum,-122.258406,51.983316
Symphyotrichum_ciliolatum,-121.38,62.85
Symphyotrichum_ciliolatum,-121.311179,61.786381
Symphyotrichum_ciliolatum,-121.306631,61.787584
Symphyotrichum_ciliolatum,-120.918056,61.376389
Symphyotrichum_ciliolatum,-120.333333,60.466667
Symphyotrichum_ciliolatum,-120.135237,53.325795
Symphyotrichum_ciliolatum,-119.845183,61.141586
Symphyotrichum_ciliolatum,-119.844887,61.14585
Symphyotrichum_ciliolatum,-119.423529,49.541738
Symphyotrichum_ciliolatum,-119.25,50.308333
Symphyotrichum_ciliolatum,-119.033333,50.725
Symphyotrichum_ciliolatum,-118.15,50.983333
Symphyotrichum_ciliolatum,-118.133333,49.783333
Symphyotrichum_ciliolatum,-118.0866,52.870013
Symphyotrichum_ciliolatum,-118.069673,52.907008
Symphyotrichum_ciliolatum,-118.059213,56.290401
Symphyotrichum_ciliolatum,-118.004692,52.917856
Symphyotrichum_ciliolatum,-117.9,53.2
Symphyotrichum_ciliolatum,-117.870695,52.680665
Symphyotrichum_ciliolatum,-117.866313,52.695468
Symphyotrichum_ciliolatum,-117.626046,57.737301
Symphyotrichum_ciliolatum,-117.618606,61.329022
Symphyotrichum_ciliolatum,-117.4464,53.46928
Symphyotrichum_ciliolatum,-117.35584,57.07688
Symphyotrichum_ciliolatum,-117.327683,60.963558
Symphyotrichum_ciliolatum,-116.980849,53.233917
Symphyotrichum_ciliolatum,-116.920506,52.118152
Symphyotrichum_ciliolatum,-116.808267,54.402872
Symphyotrichum_ciliolatum,-116.735945,54.168625
Symphyotrichum_ciliolatum,-116.683333,54.2
Symphyotrichum_ciliolatum,-116.644997,52.0187
Symphyotrichum_ciliolatum,-116.625671,53.803585
Symphyotrichum_ciliolatum,-116.514341,51.377682
Symphyotrichum_ciliolatum,-116.491823,51.398638
