Species,x,y
Symphyotrichum_concolor,-90.955,31.313889
Symphyotrichum_concolor,-90.766667,30.699667
Symphyotrichum_concolor,-90.473,30.677
Symphyotrichum_concolor,-90.362673,31.420452
Symphyotrichum_concolor,-89.993633,30.874267
Symphyotrichum_concolor,-89.98048,30.88157
Symphyotrichum_concolor,-89.939126,30.55891
Symphyotrichum_concolor,-89.932788,30.566538
Symphyotrichum_concolor,-89.702986,31.337155
Symphyotrichum_concolor,-89.545,31.086111
Symphyotrichum_concolor,-89.51917,34.36639
Symphyotrichum_concolor,-89.413011,31.340713
Symphyotrichum_concolor,-89.403938,31.344163
Symphyotrichum_concolor,-89.270322,30.342696
Symphyotrichum_concolor,-89.261222,32.168241
Symphyotrichum_concolor,-89.2016,31.0135
Symphyotrichum_concolor,-89.175147,31.019639
Symphyotrichum_concolor,-89.173155,31.019914
Symphyotrichum_concolor,-89.115645,30.996199
Symphyotrichum_concolor,-89.09687,30.66511
Symphyotrichum_concolor,-89.08329,30.66724
Symphyotrichum_concolor,-89.0831,30.66053
Symphyotrichum_concolor,-89.07145,30.64842
Symphyotrichum_concolor,-88.98548,31.1792
Symphyotrichum_concolor,-88.891693,32.400595
Symphyotrichum_concolor,-88.849273,33.320575
Symphyotrichum_concolor,-88.766516,31.460882
Symphyotrichum_concolor,-88.761121,34.874954
Symphyotrichum_concolor,-88.655038,30.451672
Symphyotrichum_concolor,-88.654357,30.451642
Symphyotrichum_concolor,-88.654148,30.451823
Symphyotrichum_concolor,-88.654022,30.451869
Symphyotrichum_concolor,-88.65401,30.451844
Symphyotrichum_concolor,-88.653814,30.45196
Symphyotrichum_concolor,-88.652756,30.452567
Symphyotrichum_concolor,-88.652347,30.452124
Symphyotrichum_concolor,-88.652132,30.451851
Symphyotrichum_concolor,-88.652083,30.451858
Symphyotrichum_concolor,-88.651753,30.451174
Symphyotrichum_concolor,-88.651725,30.45137
Symphyotrichum_concolor,-88.651698,30.451442
Symphyotrichum_concolor,-88.65125,30.451615
Symphyotrichum_concolor,-88.542512,35.037195
Symphyotrichum_concolor,-88.313912,32.914402
Symphyotrichum_concolor,-88.305022,32.914633
Symphyotrichum_concolor,-88.236245,32.858762
Symphyotrichum_concolor,-87.86,30.68
Symphyotrichum_concolor,-87.3,33.34
Symphyotrichum_concolor,-87.13,33.08
Symphyotrichum_concolor,-87.089776,33.987019
Symphyotrichum_concolor,-87.07,33.01
Symphyotrichum_concolor,-87.03,33.05
Symphyotrichum_concolor,-86.955168,30.623761
Symphyotrichum_concolor,-86.91125,31.283056
Symphyotrichum_concolor,-86.9025,30.5395
Symphyotrichum_concolor,-86.891945,30.679497
Symphyotrichum_concolor,-86.884301,30.689191
Symphyotrichum_concolor,-86.750833,31.482778
Symphyotrichum_concolor,-86.720493,30.504771
Symphyotrichum_concolor,-86.71137,33.287918
Symphyotrichum_concolor,-86.69785,31.14642
Symphyotrichum_concolor,-86.69358,31.16441
Symphyotrichum_concolor,-86.69009,31.16917
Symphyotrichum_concolor,-86.68963,31.1433
Symphyotrichum_concolor,-86.68771,31.16351
Symphyotrichum_concolor,-86.668333,31.296389
Symphyotrichum_concolor,-86.66,31.29
Symphyotrichum_concolor,-86.64169,31.14528
Symphyotrichum_concolor,-86.59,31.53
Symphyotrichum_concolor,-86.55761,32.681225
Symphyotrichum_concolor,-86.493019,31.626102
Symphyotrichum_concolor,-86.458065,31.628733
Symphyotrichum_concolor,-86.45,31.62
Symphyotrichum_concolor,-86.43502,32.506225
