Species,x,y
Symphyotrichum_defoliatum,-120.452197,35.387416
Symphyotrichum_defoliatum,-119.18623,34.98912
Symphyotrichum_defoliatum,-118.865853,34.842024
Symphyotrichum_defoliatum,-118.328617,34.092147
Symphyotrichum_defoliatum,-118.07747,33.73775
Symphyotrichum_defoliatum,-117.867834,33.745573
Symphyotrichum_defoliatum,-117.3711,34.1118
Symphyotrichum_defoliatum,-117.291157,34.536106
Symphyotrichum_defoliatum,-117.289765,34.108345
Symphyotrichum_defoliatum,-117.2791,34.1161
Symphyotrichum_defoliatum,-117.273817,34.50981
Symphyotrichum_defoliatum,-116.978783,34.181508
Symphyotrichum_defoliatum,-116.838889,33.875
Symphyotrichum_defoliatum,-116.83613,33.36337
Symphyotrichum_defoliatum,-116.814781,33.254264
Symphyotrichum_defoliatum,-116.724607,33.744421
Symphyotrichum_defoliatum,-116.71459,33.74596
Symphyotrichum_defoliatum,-116.698881,33.700619
Symphyotrichum_defoliatum,-116.593717,32.991768
Symphyotrichum_defoliatum,-116.592717,32.909819
Symphyotrichum_defoliatum,-116.5814,32.9013
Symphyotrichum_defoliatum,-116.573,32.764
Symphyotrichum_defoliatum,-116.539796,32.95634
Symphyotrichum_defoliatum,-116.522362,32.945213
Symphyotrichum_defoliatum,-116.492679,33.144594
Symphyotrichum_defoliatum,-116.4906,32.72871
Symphyotrichum_defoliatum,-116.49028,32.93417
Symphyotrichum_defoliatum,-116.490278,32.934167
Symphyotrichum_defoliatum,-116.489529,32.990483
Symphyotrichum_defoliatum,-116.459132,32.898222
Symphyotrichum_defoliatum,-116.427033,32.977461
Symphyotrichum_defoliatum,-116.425075,32.880369
Symphyotrichum_defoliatum,-116.421761,32.903586
Symphyotrichum_defoliatum,-116.421415,32.837918
Symphyotrichum_defoliatum,-116.19,34.83
Symphyotrichum_defoliatum,-116.178456,34.841435
Symphyotrichum_defoliatum,-117.2791,34.1161
