Species,x,y
Symphyotrichum_drummondii,-103.564444,31.176944
Symphyotrichum_drummondii,-102.06667,28.45
Symphyotrichum_drummondii,-99.753922,29.620325
Symphyotrichum_drummondii,-99.732972,29.58506
Symphyotrichum_drummondii,-99.534742,31.262028
Symphyotrichum_drummondii,-99.43067,29.79383
Symphyotrichum_drummondii,-99.42467,29.7925
Symphyotrichum_drummondii,-99.288075,29.67047
Symphyotrichum_drummondii,-99.149165,30.048883
Symphyotrichum_drummondii,-98.96667,29.68333
Symphyotrichum_drummondii,-98.76737,29.8282
Symphyotrichum_drummondii,-98.717579,29.618997
Symphyotrichum_drummondii,-98.708657,29.778589
Symphyotrichum_drummondii,-98.705793,29.60875
Symphyotrichum_drummondii,-98.702133,29.567459
Symphyotrichum_drummondii,-98.640828,29.861404
Symphyotrichum_drummondii,-98.630813,29.648347
Symphyotrichum_drummondii,-98.630128,29.518703
Symphyotrichum_drummondii,-98.615143,29.557088
Symphyotrichum_drummondii,-98.576675,29.259316
Symphyotrichum_drummondii,-98.55,29.83333
Symphyotrichum_drummondii,-98.495313,29.872137
Symphyotrichum_drummondii,-98.493628,29.424122
Symphyotrichum_drummondii,-98.489578,29.873453
Symphyotrichum_drummondii,-98.4714,30.22553
Symphyotrichum_drummondii,-98.43043,29.88413
Symphyotrichum_drummondii,-98.4105,29.840551
Symphyotrichum_drummondii,-98.355616,35.456936
Symphyotrichum_drummondii,-98.27,30.25
Symphyotrichum_drummondii,-98.262674,29.220192
Symphyotrichum_drummondii,-98.194253,29.869883
Symphyotrichum_drummondii,-98.187027,29.868008
Symphyotrichum_drummondii,-98.18148,29.84286
Symphyotrichum_drummondii,-98.142608,30.340653
Symphyotrichum_drummondii,-98.1426,30.34053
Symphyotrichum_drummondii,-98.140342,30.340203
Symphyotrichum_drummondii,-98.128633,29.488217
Symphyotrichum_drummondii,-98.12863,29.48822
Symphyotrichum_drummondii,-98.099603,29.771955
Symphyotrichum_drummondii,-98.040733,30.163422
Symphyotrichum_drummondii,-98.038152,30.194026
Symphyotrichum_drummondii,-98.033009,31.976813
Symphyotrichum_drummondii,-98.032903,30.284497
Symphyotrichum_drummondii,-98.023433,30.506933
Symphyotrichum_drummondii,-98.007944,29.915953
Symphyotrichum_drummondii,-98.000728,29.769331
Symphyotrichum_drummondii,-97.991319,30.294952
Symphyotrichum_drummondii,-97.98244,29.57102
Symphyotrichum_drummondii,-97.978956,29.574588
Symphyotrichum_drummondii,-97.97787,29.57551
Symphyotrichum_drummondii,-97.977396,29.573929
Symphyotrichum_drummondii,-97.9771,29.572283
Symphyotrichum_drummondii,-97.97693,29.57448
Symphyotrichum_drummondii,-97.967479,29.868445
Symphyotrichum_drummondii,-97.96622,29.55518
Symphyotrichum_drummondii,-97.966217,29.555183
Symphyotrichum_drummondii,-97.958309,30.227561
Symphyotrichum_drummondii,-97.947574,29.863626
Symphyotrichum_drummondii,-97.934216,29.590521
Symphyotrichum_drummondii,-97.933347,29.876131
Symphyotrichum_drummondii,-97.932183,29.875609
Symphyotrichum_drummondii,-97.923387,30.321662
Symphyotrichum_drummondii,-97.900903,29.940183
Symphyotrichum_drummondii,-97.890861,30.23741
Symphyotrichum_drummondii,-97.889875,33.802588
Symphyotrichum_drummondii,-97.886496,30.208898
Symphyotrichum_drummondii,-97.881217,30.295892
Symphyotrichum_drummondii,-97.88,33.451517
Symphyotrichum_drummondii,-97.875717,30.19919
Symphyotrichum_drummondii,-97.875526,30.640674
Symphyotrichum_drummondii,-97.873153,30.619153
Symphyotrichum_drummondii,-97.8711,29.641317
Symphyotrichum_drummondii,-97.870296,30.212325
Symphyotrichum_drummondii,-97.869938,30.19698
Symphyotrichum_drummondii,-97.867652,30.220111
Symphyotrichum_drummondii,-97.865441,30.218452
Symphyotrichum_drummondii,-97.863847,30.190256
Symphyotrichum_drummondii,-97.86244,30.18945
Symphyotrichum_drummondii,-97.861542,30.217005
Symphyotrichum_drummondii,-97.860374,30.231577
Symphyotrichum_drummondii,-97.857751,30.21205
Symphyotrichum_drummondii,-97.846433,30.2149
Symphyotrichum_drummondii,-97.843117,30.230222
Symphyotrichum_drummondii,-97.84268,30.2309
Symphyotrichum_drummondii,-97.842117,30.225588
Symphyotrichum_drummondii,-97.841732,30.274322
Symphyotrichum_drummondii,-97.840967,30.257733
Symphyotrichum_drummondii,-97.84095,30.342005
Symphyotrichum_drummondii,-97.837137,30.335395
Symphyotrichum_drummondii,-97.828637,30.270033
Symphyotrichum_drummondii,-97.828597,30.269728
Symphyotrichum_drummondii,-97.82747,30.270422
Symphyotrichum_drummondii,-97.826783,30.27013
Symphyotrichum_drummondii,-97.824356,30.269322
Symphyotrichum_drummondii,-97.8237,30.265713
Symphyotrichum_drummondii,-97.823425,30.267422
Symphyotrichum_drummondii,-97.823212,30.266753
Symphyotrichum_drummondii,-97.822975,30.265213
Symphyotrichum_drummondii,-97.82222,30.305555
Symphyotrichum_drummondii,-97.821675,30.309928
Symphyotrichum_drummondii,-97.819038,30.305755
Symphyotrichum_drummondii,-97.813392,30.245805
Symphyotrichum_drummondii,-97.81221,30.247482
Symphyotrichum_drummondii,-97.811941,30.247252
Symphyotrichum_drummondii,-97.811028,30.242262
Symphyotrichum_drummondii,-97.810554,30.241003
Symphyotrichum_drummondii,-97.810502,30.24469
Symphyotrichum_drummondii,-97.80974,30.240284
Symphyotrichum_drummondii,-97.805219,30.270092
Symphyotrichum_drummondii,-97.800551,30.497389
Symphyotrichum_drummondii,-97.800155,30.244753
Symphyotrichum_drummondii,-97.7997,30.417339
Symphyotrichum_drummondii,-97.799204,31.390911
Symphyotrichum_drummondii,-97.79695,30.244446
Symphyotrichum_drummondii,-97.796182,30.418618
Symphyotrichum_drummondii,-97.794653,30.426045
Symphyotrichum_drummondii,-97.793471,30.406492
Symphyotrichum_drummondii,-97.791773,30.242352
Symphyotrichum_drummondii,-97.787437,30.254653
Symphyotrichum_drummondii,-97.78737,30.272246
Symphyotrichum_drummondii,-97.78727,30.257145
Symphyotrichum_drummondii,-97.786607,30.366026
Symphyotrichum_drummondii,-97.785867,30.271333
Symphyotrichum_drummondii,-97.785767,30.256838
Symphyotrichum_drummondii,-97.785767,30.259822
Symphyotrichum_drummondii,-97.785484,30.256579
Symphyotrichum_drummondii,-97.784783,30.261285
Symphyotrichum_drummondii,-97.782104,30.261301
Symphyotrichum_drummondii,-97.781949,30.334694
Symphyotrichum_drummondii,-97.780817,30.287593
Symphyotrichum_drummondii,-97.780601,30.284414
Symphyotrichum_drummondii,-97.779526,30.261608
Symphyotrichum_drummondii,-97.777441,30.393529
Symphyotrichum_drummondii,-97.775925,30.305822
Symphyotrichum_drummondii,-97.771975,30.263353
Symphyotrichum_drummondii,-97.770674,30.263123
Symphyotrichum_drummondii,-97.7703,30.312305
Symphyotrichum_drummondii,-97.769967,30.28643
Symphyotrichum_drummondii,-97.7698,30.382423
Symphyotrichum_drummondii,-97.76963,30.382555
Symphyotrichum_drummondii,-97.768478,30.383232
Symphyotrichum_drummondii,-97.767783,30.269653
Symphyotrichum_drummondii,-97.767778,30.278372
Symphyotrichum_drummondii,-97.766062,30.26432
Symphyotrichum_drummondii,-97.764305,30.680733
Symphyotrichum_drummondii,-97.76389,30.295491
Symphyotrichum_drummondii,-97.76175,30.267063
Symphyotrichum_drummondii,-97.759278,30.201275
Symphyotrichum_drummondii,-97.758964,30.41766
Symphyotrichum_drummondii,-97.758901,30.418369
Symphyotrichum_drummondii,-97.758719,30.41788
Symphyotrichum_drummondii,-97.758536,30.417972
Symphyotrichum_drummondii,-97.756144,30.259316
Symphyotrichum_drummondii,-97.756069,30.410397
Symphyotrichum_drummondii,-97.754614,30.284052
Symphyotrichum_drummondii,-97.754547,30.284183
Symphyotrichum_drummondii,-97.754395,30.25273
Symphyotrichum_drummondii,-97.754333,30.28378
Symphyotrichum_drummondii,-97.754212,30.284925
Symphyotrichum_drummondii,-97.754002,30.283537
Symphyotrichum_drummondii,-97.753956,30.525739
Symphyotrichum_drummondii,-97.753611,30.285612
Symphyotrichum_drummondii,-97.75337,30.283661
Symphyotrichum_drummondii,-97.753277,30.283469
Symphyotrichum_drummondii,-97.752775,30.283195
Symphyotrichum_drummondii,-97.751995,30.290823
Symphyotrichum_drummondii,-97.746772,30.230383
Symphyotrichum_drummondii,-97.743761,30.26806
Symphyotrichum_drummondii,-97.743539,30.248482
Symphyotrichum_drummondii,-97.743272,30.24817
Symphyotrichum_drummondii,-97.742972,30.24827
Symphyotrichum_drummondii,-97.742855,30.247676
Symphyotrichum_drummondii,-97.738005,30.293255
Symphyotrichum_drummondii,-97.73725,30.245567
Symphyotrichum_drummondii,-97.736832,30.520061
Symphyotrichum_drummondii,-97.734975,30.284296
Symphyotrichum_drummondii,-97.734726,30.285061
Symphyotrichum_drummondii,-97.734522,30.285032
Symphyotrichum_drummondii,-97.734384,30.280856
Symphyotrichum_drummondii,-97.734205,30.285003
Symphyotrichum_drummondii,-97.734069,30.285628
Symphyotrichum_drummondii,-97.734025,30.286147
Symphyotrichum_drummondii,-97.734023,30.280785
Symphyotrichum_drummondii,-97.734008,30.286238
Symphyotrichum_drummondii,-97.73397,30.28627
Symphyotrichum_drummondii,-97.733605,30.281733
Symphyotrichum_drummondii,-97.730955,30.175426
Symphyotrichum_drummondii,-97.729728,30.413278
Symphyotrichum_drummondii,-97.729124,30.500594
Symphyotrichum_drummondii,-97.728742,30.413438
Symphyotrichum_drummondii,-97.726812,30.184346
Symphyotrichum_drummondii,-97.724884,30.662605
Symphyotrichum_drummondii,-97.722939,30.184589
Symphyotrichum_drummondii,-97.722437,30.185525
Symphyotrichum_drummondii,-97.722402,30.184733
Symphyotrichum_drummondii,-97.722367,30.186305
Symphyotrichum_drummondii,-97.722294,30.186605
Symphyotrichum_drummondii,-97.720567,30.189547
Symphyotrichum_drummondii,-97.720365,30.189359
Symphyotrichum_drummondii,-97.718366,30.411744
Symphyotrichum_drummondii,-97.716239,30.197106
Symphyotrichum_drummondii,-97.71367,30.662838
Symphyotrichum_drummondii,-97.713525,30.411641
Symphyotrichum_drummondii,-97.711555,30.292928
Symphyotrichum_drummondii,-97.700705,30.283847
Symphyotrichum_drummondii,-97.69976,31.89027
Symphyotrichum_drummondii,-97.699293,31.890668
Symphyotrichum_drummondii,-97.696109,29.67152
Symphyotrichum_drummondii,-97.693131,29.848408
Symphyotrichum_drummondii,-97.689147,30.296575
Symphyotrichum_drummondii,-97.684503,30.400672
Symphyotrichum_drummondii,-97.684495,30.400637
Symphyotrichum_drummondii,-97.68412,30.397638
Symphyotrichum_drummondii,-97.684083,30.397645
Symphyotrichum_drummondii,-97.682992,30.640747
Symphyotrichum_drummondii,-97.682667,30.278014
Symphyotrichum_drummondii,-97.681,30.415802
Symphyotrichum_drummondii,-97.680806,30.270688
Symphyotrichum_drummondii,-97.680117,30.416495
Symphyotrichum_drummondii,-97.67987,30.268745
Symphyotrichum_drummondii,-97.677231,30.632694
Symphyotrichum_drummondii,-97.676794,30.268901
Symphyotrichum_drummondii,-97.675945,30.267627
Symphyotrichum_drummondii,-97.675568,30.285753
Symphyotrichum_drummondii,-97.675051,30.285521
Symphyotrichum_drummondii,-97.674881,30.285664
Symphyotrichum_drummondii,-97.674585,30.285193
Symphyotrichum_drummondii,-97.673899,30.284861
Symphyotrichum_drummondii,-97.673673,30.285503
Symphyotrichum_drummondii,-97.666171,33.035382
Symphyotrichum_drummondii,-97.664215,35.523739
Symphyotrichum_drummondii,-97.66056,30.511139
Symphyotrichum_drummondii,-97.656358,30.364458
Symphyotrichum_drummondii,-97.654436,30.367155
Symphyotrichum_drummondii,-97.649537,30.689442
Symphyotrichum_drummondii,-97.64406,30.684893
Symphyotrichum_drummondii,-97.643855,30.684711
Symphyotrichum_drummondii,-97.632861,32.634722
Symphyotrichum_drummondii,-97.63286,32.63472
Symphyotrichum_drummondii,-97.619201,30.55974
Symphyotrichum_drummondii,-97.617691,35.595956
Symphyotrichum_drummondii,-97.617242,30.401179
Symphyotrichum_drummondii,-97.61387,30.35871
Symphyotrichum_drummondii,-97.612218,30.435258
Symphyotrichum_drummondii,-97.611888,30.433412
Symphyotrichum_drummondii,-97.6065,33.3083
Symphyotrichum_drummondii,-97.59495,33.361249
Symphyotrichum_drummondii,-97.59355,33.361899
Symphyotrichum_drummondii,-97.592554,33.359864
Symphyotrichum_drummondii,-97.58133,31.24029
Symphyotrichum_drummondii,-97.570516,31.788715
Symphyotrichum_drummondii,-97.569808,33.317419
Symphyotrichum_drummondii,-97.540467,35.592567
Symphyotrichum_drummondii,-97.5382,31.226022
Symphyotrichum_drummondii,-97.526437,31.017597
Symphyotrichum_drummondii,-97.489617,30.140214
Symphyotrichum_drummondii,-97.4882,33.3254
Symphyotrichum_drummondii,-97.48592,32.836418
Symphyotrichum_drummondii,-97.484703,30.150756
Symphyotrichum_drummondii,-97.474167,33.247936
