Species,x,y
Symphyotrichum_eatonii,-123.709472,41.593944
Symphyotrichum_eatonii,-123.705694,41.592806
Symphyotrichum_eatonii,-123.702694,41.58375
Symphyotrichum_eatonii,-123.692944,41.587139
Symphyotrichum_eatonii,-123.689139,40.809417
Symphyotrichum_eatonii,-123.626778,41.881778
Symphyotrichum_eatonii,-123.62,41.875556
Symphyotrichum_eatonii,-123.616667,41.875556
Symphyotrichum_eatonii,-123.481361,41.105833
Symphyotrichum_eatonii,-123.48025,41.110917
Symphyotrichum_eatonii,-123.470556,41.084583
Symphyotrichum_eatonii,-123.465722,41.085444
Symphyotrichum_eatonii,-123.464972,41.08375
Symphyotrichum_eatonii,-123.46275,41.082056
Symphyotrichum_eatonii,-123.433333,48.65
Symphyotrichum_eatonii,-123.411972,41.172611
Symphyotrichum_eatonii,-123.221667,41.416667
Symphyotrichum_eatonii,-123.050361,41.608639
Symphyotrichum_eatonii,-122.954063,46.897598
Symphyotrichum_eatonii,-122.862944,41.236556
Symphyotrichum_eatonii,-122.631917,41.360278
Symphyotrichum_eatonii,-122.074711,42.704551
Symphyotrichum_eatonii,-121.866667,51.533333
Symphyotrichum_eatonii,-121.837478,39.728494
Symphyotrichum_eatonii,-121.614444,41.186194
Symphyotrichum_eatonii,-121.523034,45.746756
Symphyotrichum_eatonii,-121.4658578,40.112386
Symphyotrichum_eatonii,-121.373583,39.879778
Symphyotrichum_eatonii,-121.137639,40.143119
Symphyotrichum_eatonii,-121.1376,40.1431
Symphyotrichum_eatonii,-120.9033,41.3044
Symphyotrichum_eatonii,-120.869139,39.840528
Symphyotrichum_eatonii,-120.867529,39.84105
Symphyotrichum_eatonii,-120.838598,40.004682
Symphyotrichum_eatonii,-120.81817,39.81066
Symphyotrichum_eatonii,-120.8167,39.8833
Symphyotrichum_eatonii,-120.675,39.8833
Symphyotrichum_eatonii,-120.656667,39.3175
Symphyotrichum_eatonii,-120.54246,41.48712
Symphyotrichum_eatonii,-120.542456,41.487115
