Species,x,y
Symphyotrichum_ericoides,-124.45,61.25
Symphyotrichum_ericoides,-122.284119,51.520264
Symphyotrichum_ericoides,-122.279724,51.42713
Symphyotrichum_ericoides,-122.12307,52.119602
Symphyotrichum_ericoides,-121.816497,51.319697
Symphyotrichum_ericoides,-121.37,61.87
Symphyotrichum_ericoides,-121.366667,61.866667
Symphyotrichum_ericoides,-121.343333,50.596667
Symphyotrichum_ericoides,-121.316667,50.366667
Symphyotrichum_ericoides,-121.293267,51.356888
Symphyotrichum_ericoides,-120.522549,50.732655
Symphyotrichum_ericoides,-120.477199,50.655762
Symphyotrichum_ericoides,-120.394758,50.649682
Symphyotrichum_ericoides,-120.394628,50.649229
Symphyotrichum_ericoides,-120.385069,50.771144
Symphyotrichum_ericoides,-120.37027,50.675262
Symphyotrichum_ericoides,-120.286812,50.517637
Symphyotrichum_ericoides,-120.25,56.1
Symphyotrichum_ericoides,-120.027591,56.138224
Symphyotrichum_ericoides,-119.983698,46.733704
Symphyotrichum_ericoides,-119.98108,46.733616
Symphyotrichum_ericoides,-119.678056,49.025
Symphyotrichum_ericoides,-119.646645,49.509937
Symphyotrichum_ericoides,-119.631667,49.306667
Symphyotrichum_ericoides,-119.626428,49.48887
Symphyotrichum_ericoides,-119.612288,49.433338
Symphyotrichum_ericoides,-119.572821,49.20517
Symphyotrichum_ericoides,-119.5642,49.43803
Symphyotrichum_ericoides,-119.563333,49.078333
Symphyotrichum_ericoides,-119.55607,49.469295
Symphyotrichum_ericoides,-119.540667,49.193732
Symphyotrichum_ericoides,-119.5,49.066667
Symphyotrichum_ericoides,-119.490591,47.389307
Symphyotrichum_ericoides,-119.45,49.033333
Symphyotrichum_ericoides,-119.434145,49.044281
Symphyotrichum_ericoides,-119.432156,49.874794
Symphyotrichum_ericoides,-119.430737,49.875307
Symphyotrichum_ericoides,-119.410639,50.053683
Symphyotrichum_ericoides,-119.404736,49.993973
Symphyotrichum_ericoides,-119.356114,48.21424
Symphyotrichum_ericoides,-117.9567,45.2447
Symphyotrichum_ericoides,-117.9433,45.3186
Symphyotrichum_ericoides,-117.6569,61.3556
Symphyotrichum_ericoides,-117.52837,47.44068
Symphyotrichum_ericoides,-117.443423,56.186743
Symphyotrichum_ericoides,-117.379004,46.633262
Symphyotrichum_ericoides,-117.12,57.75
Symphyotrichum_ericoides,-117.0,61.5
Symphyotrichum_ericoides,-116.402733,52.040517
Symphyotrichum_ericoides,-116.216667,60.5
Symphyotrichum_ericoides,-116.033333,50.5
Symphyotrichum_ericoides,-115.96163,50.422991
Symphyotrichum_ericoides,-115.740799,49.775225
Symphyotrichum_ericoides,-115.716667,49.716667
