Species,x,y
Symphyotrichum_fendleri,-105.271378,40.210214
Symphyotrichum_fendleri,-105.222324,38.439658
Symphyotrichum_fendleri,-105.22,40.19
Symphyotrichum_fendleri,-105.16621,40.52474
Symphyotrichum_fendleri,-105.134026,39.313116
Symphyotrichum_fendleri,-105.131217,40.131533
Symphyotrichum_fendleri,-105.111252,39.529549
Symphyotrichum_fendleri,-105.02776,39.724983
Symphyotrichum_fendleri,-104.984711,39.739149
Symphyotrichum_fendleri,-104.961468,39.732207
Symphyotrichum_fendleri,-104.950542,39.667836
Symphyotrichum_fendleri,-104.922564,38.854753
Symphyotrichum_fendleri,-104.87,38.62
Symphyotrichum_fendleri,-104.865547,36.784145
Symphyotrichum_fendleri,-104.854554,36.814435
Symphyotrichum_fendleri,-104.755793,39.502154
Symphyotrichum_fendleri,-104.75,39.5
Symphyotrichum_fendleri,-104.694511,36.554803
Symphyotrichum_fendleri,-104.6775,38.2708
Symphyotrichum_fendleri,-104.6775,38.27083
Symphyotrichum_fendleri,-104.6775,38.270833
Symphyotrichum_fendleri,-104.600292,38.869564
Symphyotrichum_fendleri,-104.51366,39.63737
Symphyotrichum_fendleri,-104.322328,36.820221
Symphyotrichum_fendleri,-104.286496,36.791234
Symphyotrichum_fendleri,-104.263374,36.083748
Symphyotrichum_fendleri,-103.930853,35.223302
Symphyotrichum_fendleri,-103.709724,39.270832
Symphyotrichum_fendleri,-103.709722,39.270833
Symphyotrichum_fendleri,-103.70972,39.27083
Symphyotrichum_fendleri,-103.70825,39.27169
Symphyotrichum_fendleri,-103.443583,36.8275
Symphyotrichum_fendleri,-103.192711,37.337465
Symphyotrichum_fendleri,-103.192097,37.336809
Symphyotrichum_fendleri,-102.469619,35.268229
Symphyotrichum_fendleri,-102.19944,35.04084
Symphyotrichum_fendleri,-101.848056,35.465556
Symphyotrichum_fendleri,-101.573056,35.693611
Symphyotrichum_fendleri,-101.536997,33.056207
Symphyotrichum_fendleri,-101.45758,39.70732
Symphyotrichum_fendleri,-101.403333,35.662222
Symphyotrichum_fendleri,-101.36785,38.9132
Symphyotrichum_fendleri,-101.239331,38.938765
Symphyotrichum_fendleri,-101.238394,38.93927
Symphyotrichum_fendleri,-101.18155,38.91334
Symphyotrichum_fendleri,-101.083344,34.46185
Symphyotrichum_fendleri,-101.010372,38.86958
Symphyotrichum_fendleri,-100.979208,38.897809
Symphyotrichum_fendleri,-100.95133,38.80779
Symphyotrichum_fendleri,-100.939102,38.802372
Symphyotrichum_fendleri,-100.918017,38.676484
Symphyotrichum_fendleri,-100.89742,38.8239
Symphyotrichum_fendleri,-100.85876,38.80784
Symphyotrichum_fendleri,-100.8545,38.8395
Symphyotrichum_fendleri,-100.85,38.72741
Symphyotrichum_fendleri,-100.79321,36.254612
Symphyotrichum_fendleri,-100.70598,38.851517
Symphyotrichum_fendleri,-100.59128,38.95774
Symphyotrichum_fendleri,-100.44386,37.16803
Symphyotrichum_fendleri,-100.442189,37.167991
Symphyotrichum_fendleri,-100.37654,37.16957
Symphyotrichum_fendleri,-100.27976,37.030854
Symphyotrichum_fendleri,-100.170997,38.858075
Symphyotrichum_fendleri,-100.14113,37.18472
Symphyotrichum_fendleri,-100.09001,38.88169
Symphyotrichum_fendleri,-100.08068,38.84711
Symphyotrichum_fendleri,-99.99509,37.23941
Symphyotrichum_fendleri,-99.97311,37.79595
Symphyotrichum_fendleri,-99.95819,38.03316
Symphyotrichum_fendleri,-99.883253,39.349716
Symphyotrichum_fendleri,-99.82428,37.44287
Symphyotrichum_fendleri,-99.81261,38.06919
Symphyotrichum_fendleri,-99.810062,38.805097
Symphyotrichum_fendleri,-99.73234,38.74496
Symphyotrichum_fendleri,-99.728615,35.608055
Symphyotrichum_fendleri,-99.728611,35.608056
Symphyotrichum_fendleri,-99.723892,35.559444
Symphyotrichum_fendleri,-99.723889,35.559444
Symphyotrichum_fendleri,-99.71111,35.75016
Symphyotrichum_fendleri,-99.70609,39.377
Symphyotrichum_fendleri,-99.6875,35.563889
Symphyotrichum_fendleri,-99.6856,35.5769
Symphyotrichum_fendleri,-99.685556,35.576944
Symphyotrichum_fendleri,-99.58921,39.66167
Symphyotrichum_fendleri,-99.364014,38.879172
Symphyotrichum_fendleri,-99.325054,39.35023
Symphyotrichum_fendleri,-99.30922,38.52569
Symphyotrichum_fendleri,-99.274334,39.656346
Symphyotrichum_fendleri,-99.11925,39.72544
Symphyotrichum_fendleri,-99.089482,39.173192
Symphyotrichum_fendleri,-98.986666,37.027291
Symphyotrichum_fendleri,-98.96821,39.65749
Symphyotrichum_fendleri,-98.960217,36.35905
Symphyotrichum_fendleri,-98.952667,40.075852
Symphyotrichum_fendleri,-98.947859,40.498625
Symphyotrichum_fendleri,-98.91576,38.99675
Symphyotrichum_fendleri,-98.91255,37.31093
Symphyotrichum_fendleri,-98.911944,37.311667
Symphyotrichum_fendleri,-98.86876,38.93152
Symphyotrichum_fendleri,-98.85983,38.93506
Symphyotrichum_fendleri,-98.821492,37.297546
Symphyotrichum_fendleri,-98.73121,37.27569
Symphyotrichum_fendleri,-98.7258,37.28102
Symphyotrichum_fendleri,-98.7028,39.45676
Symphyotrichum_fendleri,-98.637367,38.96223
Symphyotrichum_fendleri,-98.62995,34.69384
Symphyotrichum_fendleri,-98.59967,36.35993
Symphyotrichum_fendleri,-98.58904,38.89152
Symphyotrichum_fendleri,-98.58167,36.35995
Symphyotrichum_fendleri,-98.57266,36.35996
Symphyotrichum_fendleri,-98.53646,38.96914
Symphyotrichum_fendleri,-98.536456,38.940152
Symphyotrichum_fendleri,-98.536055,34.736042
Symphyotrichum_fendleri,-98.52296,40.07435
Symphyotrichum_fendleri,-98.51951,40.07441
Symphyotrichum_fendleri,-98.39293,39.05589
Symphyotrichum_fendleri,-98.30609,39.805
Symphyotrichum_fendleri,-98.17273,38.93936
