Species,x,y
Symphyotrichum_frondosum,-122.8787493,41.9667616
Symphyotrichum_frondosum,-122.64195,41.7321071
Symphyotrichum_frondosum,-122.296266,37.8380178
Symphyotrichum_frondosum,-121.835336,41.999069
Symphyotrichum_frondosum,-121.668584,41.915106
Symphyotrichum_frondosum,-121.6316701,41.9994222
Symphyotrichum_frondosum,-121.20999,43.728158
Symphyotrichum_frondosum,-121.178682,45.594564
Symphyotrichum_frondosum,-121.1775,45.5947
Symphyotrichum_frondosum,-121.14776,45.613641
Symphyotrichum_frondosum,-121.01,39.7418
Symphyotrichum_frondosum,-120.8503,41.6094
Symphyotrichum_frondosum,-120.8342,41.4539
Symphyotrichum_frondosum,-120.208167,39.904389
Symphyotrichum_frondosum,-120.191978,39.178285
Symphyotrichum_frondosum,-120.18983,39.893495
Symphyotrichum_frondosum,-120.187222,39.396944
Symphyotrichum_frondosum,-120.157578,39.112368
Symphyotrichum_frondosum,-120.11615,39.179675
Symphyotrichum_frondosum,-120.089639,38.968947
Symphyotrichum_frondosum,-120.053838,38.941627
Symphyotrichum_frondosum,-120.032569,39.23722
Symphyotrichum_frondosum,-120.005871,38.939797
Symphyotrichum_frondosum,-120.004127,38.940925
Symphyotrichum_frondosum,-120.003775,38.940602
Symphyotrichum_frondosum,-119.958092,38.861142
Symphyotrichum_frondosum,-119.935013,41.792996
Symphyotrichum_frondosum,-119.859827,39.65195
Symphyotrichum_frondosum,-119.855972,38.698044
Symphyotrichum_frondosum,-119.809868,39.246463
Symphyotrichum_frondosum,-119.8097,42.17479
Symphyotrichum_frondosum,-119.798691,39.324426
Symphyotrichum_frondosum,-119.792786,39.325294
Symphyotrichum_frondosum,-119.543578,48.301424
Symphyotrichum_frondosum,-119.51,49.075
Symphyotrichum_frondosum,-119.464,49.054
Symphyotrichum_frondosum,-119.463889,49.052778
Symphyotrichum_frondosum,-119.46,49.05
Symphyotrichum_frondosum,-119.4411,41.25216
Symphyotrichum_frondosum,-119.3712,41.343
Symphyotrichum_frondosum,-119.2926,41.284
Symphyotrichum_frondosum,-119.218217,38.310317
Symphyotrichum_frondosum,-119.1467,38.0015
Symphyotrichum_frondosum,-119.108889,39.350278
Symphyotrichum_frondosum,-119.102797,37.977203
Symphyotrichum_frondosum,-119.077489,43.589104
Symphyotrichum_frondosum,-119.052552,37.955352
Symphyotrichum_frondosum,-118.8695,37.6441
Symphyotrichum_frondosum,-118.856778,39.041306
Symphyotrichum_frondosum,-118.842553,37.690105
Symphyotrichum_frondosum,-118.808838,37.675278
Symphyotrichum_frondosum,-118.8,37.65
Symphyotrichum_frondosum,-118.76583,37.70083
Symphyotrichum_frondosum,-118.726231,37.636695
Symphyotrichum_frondosum,-118.601845,42.327775
Symphyotrichum_frondosum,-118.533889,42.489444
Symphyotrichum_frondosum,-118.515983,39.798474
Symphyotrichum_frondosum,-118.497,37.3299
Symphyotrichum_frondosum,-118.444833,37.95275
Symphyotrichum_frondosum,-118.444722,37.952778
Symphyotrichum_frondosum,-118.4401,42.7775
Symphyotrichum_frondosum,-118.4047,37.461354
Symphyotrichum_frondosum,-118.383333,37.491667
Symphyotrichum_frondosum,-118.307778,40.47
Symphyotrichum_frondosum,-118.274722,37.261306
Symphyotrichum_frondosum,-118.267555,37.267653
Symphyotrichum_frondosum,-118.1961,36.9194
Symphyotrichum_frondosum,-118.0309,37.3115
Symphyotrichum_frondosum,-117.983161,37.85969
Symphyotrichum_frondosum,-117.86417,45.20861
Symphyotrichum_frondosum,-117.7875184,43.5214967
Symphyotrichum_frondosum,-117.707656,41.026606
Symphyotrichum_frondosum,-117.6272,42.8449
Symphyotrichum_frondosum,-117.484611,36.552056
Symphyotrichum_frondosum,-117.3915,41.4165
Symphyotrichum_frondosum,-117.278,43.2993
Symphyotrichum_frondosum,-117.210229,39.48891
Symphyotrichum_frondosum,-117.1788,41.3874
Symphyotrichum_frondosum,-117.1226,43.4741
Symphyotrichum_frondosum,-117.0659,43.7866
Symphyotrichum_frondosum,-116.977,34.2422
Symphyotrichum_frondosum,-116.94639,34.262045
Symphyotrichum_frondosum,-116.9389,43.62
Symphyotrichum_frondosum,-116.919542,34.259838
Symphyotrichum_frondosum,-116.910778,42.192498
Symphyotrichum_frondosum,-116.900275,34.25975
Symphyotrichum_frondosum,-116.84193,34.26584
Symphyotrichum_frondosum,-116.814335,34.27577
Symphyotrichum_frondosum,-116.808611,34.273889
Symphyotrichum_frondosum,-116.788226,46.458946
Symphyotrichum_frondosum,-116.759056,43.264039
Symphyotrichum_frondosum,-116.75726,33.24641
Symphyotrichum_frondosum,-116.757,33.246
Symphyotrichum_frondosum,-116.757,33.2464
Symphyotrichum_frondosum,-116.7388,43.2499
Symphyotrichum_frondosum,-116.726217,47.674094
Symphyotrichum_frondosum,-116.537002,43.690433
Symphyotrichum_frondosum,-116.512828,40.516096
Symphyotrichum_frondosum,-116.472326,38.624495
Symphyotrichum_frondosum,-116.141667,31.875
Symphyotrichum_frondosum,-115.916667,32.041667
Symphyotrichum_frondosum,-115.908333,32.05
Symphyotrichum_frondosum,-115.908,32.05
Symphyotrichum_frondosum,-115.9,32.03333
Symphyotrichum_frondosum,-115.9,32.05
Symphyotrichum_frondosum,-115.2837,41.1933
Symphyotrichum_frondosum,-115.119167,38.3575
Symphyotrichum_frondosum,-115.0894,38.3937
Symphyotrichum_frondosum,-114.090333,41.350752
Symphyotrichum_frondosum,-114.032222,38.933889
Symphyotrichum_frondosum,-114.0203,37.1637
Symphyotrichum_frondosum,-113.998,38.8563
Symphyotrichum_frondosum,-113.654864,35.843461
Symphyotrichum_frondosum,-112.518962,42.871261
Symphyotrichum_frondosum,-112.453538,43.841575
Symphyotrichum_frondosum,-111.967439,40.766612
Symphyotrichum_frondosum,-111.891047,40.760779
Symphyotrichum_frondosum,-111.660547,37.193454
Symphyotrichum_frondosum,-111.64808,40.18375
Symphyotrichum_frondosum,-111.335288,34.169642
Symphyotrichum_frondosum,-111.14854,39.75606
Symphyotrichum_frondosum,-110.93139,36.09083
Symphyotrichum_frondosum,-110.64097,37.48361
Symphyotrichum_frondosum,-110.49856,36.68458
Symphyotrichum_frondosum,-110.48092,37.77221
Symphyotrichum_frondosum,-109.97664,38.38948
Symphyotrichum_frondosum,-109.8316,42.9603
Symphyotrichum_frondosum,-109.67786,40.20353
Symphyotrichum_frondosum,-109.5889,38.6012
Symphyotrichum_frondosum,-108.985556,36.498611
Symphyotrichum_frondosum,-108.89344,40.7799
Symphyotrichum_frondosum,-108.537076,35.656281
Symphyotrichum_frondosum,-108.482305,36.765614
Symphyotrichum_frondosum,-108.474978,36.77549
Symphyotrichum_frondosum,-108.247562,35.714661
Symphyotrichum_frondosum,-107.838598,34.369343
Symphyotrichum_frondosum,-107.784313,34.425389
Symphyotrichum_frondosum,-107.73,38.8
Symphyotrichum_frondosum,-107.712079,38.797901
Symphyotrichum_frondosum,-107.30806,36.71105
Symphyotrichum_frondosum,-107.183393,35.598662
Symphyotrichum_frondosum,-107.168,36.048
Symphyotrichum_frondosum,-106.663497,35.111457
Symphyotrichum_frondosum,-105.870019,37.469441
Symphyotrichum_frondosum,-105.869522,37.705581
Symphyotrichum_frondosum,-105.786214,37.844381
Symphyotrichum_frondosum,-105.73,37.35
Symphyotrichum_frondosum,-105.5870401,38.9696551
Symphyotrichum_frondosum,-105.053538,39.9864
Symphyotrichum_frondosum,-105.050528,39.61722
Symphyotrichum_frondosum,-104.984703,39.739154
Symphyotrichum_frondosum,-104.937381,39.731744
Symphyotrichum_frondosum,-104.925852,39.828858
Symphyotrichum_frondosum,-104.762058,39.94146
Symphyotrichum_frondosum,-104.375417,36.0585
