Species,x,y
Symphyotrichum_graminifolium,-61.290835,-31.320289
Symphyotrichum_graminifolium,-61.290243,-31.319684
Symphyotrichum_graminifolium,-59.0,-27.833333
Symphyotrichum_graminifolium,-56.902703,-29.377599
Symphyotrichum_graminifolium,-51.631111,-26.663889
Symphyotrichum_graminifolium,-51.588055,-26.653889
Symphyotrichum_graminifolium,-50.584167,-27.283056
Symphyotrichum_graminifolium,-50.4,-28.350278
Symphyotrichum_graminifolium,-50.22,-28.08
Symphyotrichum_graminifolium,-49.976667,-28.801667
Symphyotrichum_graminifolium,-49.3325,-27.998611
