Species,x,y
Symphyotrichum_grandiflorum,-81.7,35.76667
Symphyotrichum_grandiflorum,-80.056361,35.309556
Symphyotrichum_grandiflorum,-80.046814,35.314738
Symphyotrichum_grandiflorum,-80.007147,35.373853
Symphyotrichum_grandiflorum,-79.969887,35.319242
Symphyotrichum_grandiflorum,-79.969392,35.319063
Symphyotrichum_grandiflorum,-79.941057,35.343995
Symphyotrichum_grandiflorum,-79.929153,34.842292
Symphyotrichum_grandiflorum,-79.928908,35.536592
Symphyotrichum_grandiflorum,-79.901847,35.509135
Symphyotrichum_grandiflorum,-79.898258,35.298584
Symphyotrichum_grandiflorum,-79.813966,35.730566
Symphyotrichum_grandiflorum,-79.813645,35.707915
Symphyotrichum_grandiflorum,-79.77309,35.540415
Symphyotrichum_grandiflorum,-79.754111,35.3605
Symphyotrichum_grandiflorum,-79.643018,35.077991
Symphyotrichum_grandiflorum,-79.642867,35.077994
Symphyotrichum_grandiflorum,-79.620904,35.281741
Symphyotrichum_grandiflorum,-79.486167,35.397353
Symphyotrichum_grandiflorum,-79.317275,35.473622
Symphyotrichum_grandiflorum,-79.237331,35.689066
Symphyotrichum_grandiflorum,-79.235125,35.721123
Symphyotrichum_grandiflorum,-79.187233,35.919845
Symphyotrichum_grandiflorum,-79.170973,35.488878
Symphyotrichum_grandiflorum,-79.154555,35.993212
Symphyotrichum_grandiflorum,-79.153411,35.993255
Symphyotrichum_grandiflorum,-79.153258,35.993267
Symphyotrichum_grandiflorum,-79.125597,35.883612
Symphyotrichum_grandiflorum,-79.12558,35.883737
Symphyotrichum_grandiflorum,-79.125566,35.883839
Symphyotrichum_grandiflorum,-79.123316,36.0894
Symphyotrichum_grandiflorum,-79.122933,35.844503
Symphyotrichum_grandiflorum,-79.122872,35.844528
Symphyotrichum_grandiflorum,-79.120842,36.060558
Symphyotrichum_grandiflorum,-79.120291,35.938198
Symphyotrichum_grandiflorum,-79.108519,36.10302
Symphyotrichum_grandiflorum,-79.102867,36.095925
Symphyotrichum_grandiflorum,-79.100042,36.234289
Symphyotrichum_grandiflorum,-79.081755,36.036645
Symphyotrichum_grandiflorum,-79.081689,36.035847
Symphyotrichum_grandiflorum,-79.073319,35.833862
Symphyotrichum_grandiflorum,-79.072997,35.833783
Symphyotrichum_grandiflorum,-79.044633,35.876755
Symphyotrichum_grandiflorum,-79.042764,35.913325
Symphyotrichum_grandiflorum,-79.033127,35.899401
Symphyotrichum_grandiflorum,-79.028971,35.958301
Symphyotrichum_grandiflorum,-79.027542,35.908962
Symphyotrichum_grandiflorum,-79.027472,35.909005
Symphyotrichum_grandiflorum,-79.02,35.75916
Symphyotrichum_grandiflorum,-79.003342,35.772185
Symphyotrichum_grandiflorum,-79.000031,35.875113
Symphyotrichum_grandiflorum,-78.990556,35.859822
Symphyotrichum_grandiflorum,-78.987686,35.842056
Symphyotrichum_grandiflorum,-78.979544,35.778908
Symphyotrichum_grandiflorum,-78.977888,35.780187
Symphyotrichum_grandiflorum,-78.891181,35.171613
Symphyotrichum_grandiflorum,-78.891175,35.171649
Symphyotrichum_grandiflorum,-78.890842,35.171728
Symphyotrichum_grandiflorum,-78.869301,35.800794
Symphyotrichum_grandiflorum,-78.868264,35.391877
Symphyotrichum_grandiflorum,-78.82556,35.82348
Symphyotrichum_grandiflorum,-78.790649,34.980831
Symphyotrichum_grandiflorum,-78.706177,36.750874
Symphyotrichum_grandiflorum,-78.668393,35.806411
Symphyotrichum_grandiflorum,-78.633263,36.611097
Symphyotrichum_grandiflorum,-78.633228,35.088609
Symphyotrichum_grandiflorum,-78.309243,35.658357
Symphyotrichum_grandiflorum,-77.965268,36.006969
Symphyotrichum_grandiflorum,-77.09639,37.39389
Symphyotrichum_grandiflorum,-77.088493,36.967147
Symphyotrichum_grandiflorum,-76.940613,37.422326
