Species,x,y
Symphyotrichum_hallii,-123.3272,42.4392
Symphyotrichum_hallii,-123.316469,44.405856
Symphyotrichum_hallii,-123.311568,44.423065
Symphyotrichum_hallii,-123.307706,44.422973
Symphyotrichum_hallii,-123.271157,44.046276
Symphyotrichum_hallii,-123.255423,44.053412
Symphyotrichum_hallii,-123.254666,44.053591
Symphyotrichum_hallii,-123.247337,44.081742
Symphyotrichum_hallii,-123.233333,44.608333
Symphyotrichum_hallii,-123.232719,44.079306
Symphyotrichum_hallii,-123.20156,44.18298
Symphyotrichum_hallii,-123.191737,44.057367
Symphyotrichum_hallii,-123.180897,44.052315
Symphyotrichum_hallii,-123.14,44.36
Symphyotrichum_hallii,-123.035174,43.989537
Symphyotrichum_hallii,-123.033846,44.001133
Symphyotrichum_hallii,-122.997519,43.960679
Symphyotrichum_hallii,-122.976454,44.000528
Symphyotrichum_hallii,-122.973042,43.995776
Symphyotrichum_hallii,-122.947963,43.996295
Symphyotrichum_hallii,-122.947405,43.994101
Symphyotrichum_hallii,-122.928041,45.40463
Symphyotrichum_hallii,-122.909929,44.04335
Symphyotrichum_hallii,-122.8969,44.6353
Symphyotrichum_hallii,-122.855372,45.143731
Symphyotrichum_hallii,-122.8542,45.1439
Symphyotrichum_hallii,-122.725387,45.395463
Symphyotrichum_hallii,-122.474789,45.358623
