Species,x,y
Symphyotrichum_hendersonii,-123.5447,41.931688
Symphyotrichum_hendersonii,-123.540452,41.937401
Symphyotrichum_hendersonii,-123.492194,41.058278
Symphyotrichum_hendersonii,-123.481415,41.105712
Symphyotrichum_hendersonii,-123.475965,41.085001
Symphyotrichum_hendersonii,-123.213865,41.606314
Symphyotrichum_hendersonii,-123.206524,41.427565
Symphyotrichum_hendersonii,-123.150944,41.585833
Symphyotrichum_hendersonii,-117.477,45.079
Symphyotrichum_hendersonii,-117.000165,46.732388
Symphyotrichum_hendersonii,-116.56359,47.957833
Symphyotrichum_hendersonii,-116.552778,45.247222
Symphyotrichum_hendersonii,-116.25741,46.985488
Symphyotrichum_hendersonii,-116.1959,46.9271
Symphyotrichum_hendersonii,-116.015225,45.130449
Symphyotrichum_hendersonii,-115.98401,47.03134
Symphyotrichum_hendersonii,-115.94704,47.10702
Symphyotrichum_hendersonii,-115.923726,47.04136
Symphyotrichum_hendersonii,-115.7661599,47.4188791
