Species,x,y
Symphyotrichum_laeve,-124.204831,43.570252
Symphyotrichum_laeve,-124.1486575,41.8678115
Symphyotrichum_laeve,-119.164322,55.099372
Symphyotrichum_laeve,-118.646636,55.869158
Symphyotrichum_laeve,-117.548218,48.359443
Symphyotrichum_laeve,-117.443423,56.186743
Symphyotrichum_laeve,-117.435352,48.016272
Symphyotrichum_laeve,-117.403948,47.620665
Symphyotrichum_laeve,-117.279286,48.206094
Symphyotrichum_laeve,-117.179616,46.731274
Symphyotrichum_laeve,-117.000165,46.732388
Symphyotrichum_laeve,-116.990475,47.704068
Symphyotrichum_laeve,-116.951586,47.717958
Symphyotrichum_laeve,-116.910965,46.790819
Symphyotrichum_laeve,-116.90305,48.20017
Symphyotrichum_laeve,-116.89822,46.856417
Symphyotrichum_laeve,-116.89822,46.863655
Symphyotrichum_laeve,-116.829895,46.803355
Symphyotrichum_laeve,-116.788706,47.688777
Symphyotrichum_laeve,-116.775742,47.697285
Symphyotrichum_laeve,-116.756858,47.758794
Symphyotrichum_laeve,-116.726217,47.674094
Symphyotrichum_laeve,-116.703663,47.961991
Symphyotrichum_laeve,-116.701762,47.674357
Symphyotrichum_laeve,-116.624914,48.252975
Symphyotrichum_laeve,-116.562904,48.344666
Symphyotrichum_laeve,-116.55419,48.304298
Symphyotrichum_laeve,-116.525822,47.092844
Symphyotrichum_laeve,-116.461111,48.516667
Symphyotrichum_laeve,-116.433522,48.180476
Symphyotrichum_laeve,-116.383,48.3325
Symphyotrichum_laeve,-116.216828,51.416155
Symphyotrichum_laeve,-116.071988,51.199968
Symphyotrichum_laeve,-116.061835,51.252042
Symphyotrichum_laeve,-115.946638,50.971772
Symphyotrichum_laeve,-115.929038,51.27388
Symphyotrichum_laeve,-115.88962,48.49222
Symphyotrichum_laeve,-115.88861,48.46333
Symphyotrichum_laeve,-115.795975,48.439257
Symphyotrichum_laeve,-115.781562,47.996042
Symphyotrichum_laeve,-115.77703,50.456792
Symphyotrichum_laeve,-115.684839,51.154106
Symphyotrichum_laeve,-115.531722,51.21165
Symphyotrichum_laeve,-115.53165,51.211872
Symphyotrichum_laeve,-115.523071,51.149594
Symphyotrichum_laeve,-115.490614,51.198635
Symphyotrichum_laeve,-115.450265,51.165273
Symphyotrichum_laeve,-115.292275,51.073745
Symphyotrichum_laeve,-115.216667,49.233333
Symphyotrichum_laeve,-115.151134,50.882041
Symphyotrichum_laeve,-115.144562,51.071121
Symphyotrichum_laeve,-115.143053,51.070308
Symphyotrichum_laeve,-115.141788,50.938364
Symphyotrichum_laeve,-115.130036,50.931788
Symphyotrichum_laeve,-115.090885,51.120303
Symphyotrichum_laeve,-115.059385,44.248513
Symphyotrichum_laeve,-115.034011,51.030752
Symphyotrichum_laeve,-115.016667,51.05
Symphyotrichum_laeve,-115.011724,51.620806
Symphyotrichum_laeve,-114.957103,48.024798
Symphyotrichum_laeve,-114.929724,59.139633
Symphyotrichum_laeve,-114.924367,50.537996
Symphyotrichum_laeve,-114.882112,47.600288
Symphyotrichum_laeve,-114.800471,50.502101
Symphyotrichum_laeve,-114.77485,47.11548
Symphyotrichum_laeve,-114.641591,49.626555
Symphyotrichum_laeve,-114.620938,49.648656
Symphyotrichum_laeve,-114.576206,50.198394
Symphyotrichum_laeve,-114.568341,54.320757
Symphyotrichum_laeve,-114.487153,49.644045
Symphyotrichum_laeve,-114.480278,51.175835
Symphyotrichum_laeve,-114.452262,51.190067
Symphyotrichum_laeve,-114.430344,51.197968
Symphyotrichum_laeve,-114.4255,47.3181
Symphyotrichum_laeve,-114.411532,51.170074
Symphyotrichum_laeve,-114.390232,51.253002
Symphyotrichum_laeve,-114.388561,51.252033
Symphyotrichum_laeve,-114.388106,51.252785
Symphyotrichum_laeve,-114.38486,51.24935
Symphyotrichum_laeve,-114.384653,51.249146
