Species,x,y
Symphyotrichum_lentum,-122.972205,38.436851
Symphyotrichum_lentum,-122.783945,38.204593
Symphyotrichum_lentum,-122.749315,38.214617
Symphyotrichum_lentum,-122.546189,37.906679
Symphyotrichum_lentum,-122.299233,37.998347
Symphyotrichum_lentum,-122.2655,37.8027
Symphyotrichum_lentum,-122.243,37.8931
Symphyotrichum_lentum,-122.187044,38.140071
Symphyotrichum_lentum,-122.063927,38.258467
Symphyotrichum_lentum,-122.0333,38.225
Symphyotrichum_lentum,-122.0208,38.2306
Symphyotrichum_lentum,-122.020495,38.316228
Symphyotrichum_lentum,-121.995645,38.376801
Symphyotrichum_lentum,-121.974632,38.190611
Symphyotrichum_lentum,-121.971748,38.310714
Symphyotrichum_lentum,-121.967324,38.187609
Symphyotrichum_lentum,-121.952627,38.028735
Symphyotrichum_lentum,-121.951458,38.015186
Symphyotrichum_lentum,-121.931217,38.043425
Symphyotrichum_lentum,-121.928464,38.108748
Symphyotrichum_lentum,-121.92511,38.327992
Symphyotrichum_lentum,-121.909509,38.163412
Symphyotrichum_lentum,-121.904406,38.378304
Symphyotrichum_lentum,-121.890346,38.028643
Symphyotrichum_lentum,-121.869574,38.129202
Symphyotrichum_lentum,-121.86237,38.392749
Symphyotrichum_lentum,-121.856503,38.26712
Symphyotrichum_lentum,-121.845162,38.144252
Symphyotrichum_lentum,-121.818166,38.018859
Symphyotrichum_lentum,-121.811037,38.281674
Symphyotrichum_lentum,-121.8066,38.015
Symphyotrichum_lentum,-121.8044,38.0165
Symphyotrichum_lentum,-121.771943,38.023598
Symphyotrichum_lentum,-121.72838,38.305195
Symphyotrichum_lentum,-121.624144,38.078564
Symphyotrichum_lentum,-121.400343,38.539405
