Species,x,y
Symphyotrichum_novae-angliae,-123.080964,44.056061
Symphyotrichum_novae-angliae,-122.903898,47.04922
Symphyotrichum_novae-angliae,-122.783531,44.832627
Symphyotrichum_novae-angliae,-122.396787,47.665534
Symphyotrichum_novae-angliae,-121.18103,44.192992
Symphyotrichum_novae-angliae,-119.371773,46.29151
Symphyotrichum_novae-angliae,-111.777845,40.675143
Symphyotrichum_novae-angliae,-111.653333,40.241389
Symphyotrichum_novae-angliae,-110.955,43.4975
Symphyotrichum_novae-angliae,-110.817215,43.43927
Symphyotrichum_novae-angliae,-108.651117,39.059192
Symphyotrichum_novae-angliae,-108.5392,45.743132
Symphyotrichum_novae-angliae,-107.9125,35.1858
Symphyotrichum_novae-angliae,-106.610615,39.657704
Symphyotrichum_novae-angliae,-106.532205,39.630891
Symphyotrichum_novae-angliae,-106.366026,39.638718
Symphyotrichum_novae-angliae,-106.270975,42.844757
Symphyotrichum_novae-angliae,-106.107278,35.56795
Symphyotrichum_novae-angliae,-106.106535,35.56705
Symphyotrichum_novae-angliae,-106.0985,35.5755
Symphyotrichum_novae-angliae,-105.679775,35.577896
Symphyotrichum_novae-angliae,-105.66666,35.75
Symphyotrichum_novae-angliae,-105.583807,41.314556
Symphyotrichum_novae-angliae,-105.514105,38.183107
Symphyotrichum_novae-angliae,-105.465835,38.134722
Symphyotrichum_novae-angliae,-105.41444,35.74417
Symphyotrichum_novae-angliae,-105.3554,35.77328
Symphyotrichum_novae-angliae,-105.171255,35.52728
Symphyotrichum_novae-angliae,-105.1375,40.16916
Symphyotrichum_novae-angliae,-105.133263,39.772122
Symphyotrichum_novae-angliae,-105.105543,39.484989
Symphyotrichum_novae-angliae,-105.084939,40.561587
Symphyotrichum_novae-angliae,-105.070503,39.670445
Symphyotrichum_novae-angliae,-105.03777,40.58027
Symphyotrichum_novae-angliae,-105.0377,40.5803
Symphyotrichum_novae-angliae,-105.012947,39.765553
Symphyotrichum_novae-angliae,-104.963673,39.731389
Symphyotrichum_novae-angliae,-104.961712,39.731836
Symphyotrichum_novae-angliae,-104.960419,39.731785
Symphyotrichum_novae-angliae,-104.948705,39.688958
Symphyotrichum_novae-angliae,-104.897377,40.475654
Symphyotrichum_novae-angliae,-104.89729,40.475696
Symphyotrichum_novae-angliae,-104.848608,36.803363
Symphyotrichum_novae-angliae,-104.828804,38.846837
Symphyotrichum_novae-angliae,-104.761363,39.518732
Symphyotrichum_novae-angliae,-104.12367,44.46836
Symphyotrichum_novae-angliae,-104.00965,44.55887
Symphyotrichum_novae-angliae,-103.9317,44.4526
Symphyotrichum_novae-angliae,-103.916995,44.342242
Symphyotrichum_novae-angliae,-103.9167,44.35
Symphyotrichum_novae-angliae,-103.900907,44.411589
Symphyotrichum_novae-angliae,-103.87219,44.49721
Symphyotrichum_novae-angliae,-103.86937,44.2454
Symphyotrichum_novae-angliae,-103.86937,44.245404
Symphyotrichum_novae-angliae,-103.866343,44.489518
Symphyotrichum_novae-angliae,-103.862898,43.996442
Symphyotrichum_novae-angliae,-103.85937,44.490817
Symphyotrichum_novae-angliae,-103.85937,44.49082
