Species,x,y
Symphyotrichum_novi-belgii,-80.162392,41.659512
Symphyotrichum_novi-belgii,-79.942754,34.631767
Symphyotrichum_novi-belgii,-79.864845,40.508197
Symphyotrichum_novi-belgii,-79.648819,33.042845
Symphyotrichum_novi-belgii,-79.632304,35.045414
Symphyotrichum_novi-belgii,-79.566728,34.894322
Symphyotrichum_novi-belgii,-79.49226,39.87174
Symphyotrichum_novi-belgii,-79.48176,34.851237
Symphyotrichum_novi-belgii,-79.110556,33.599444
Symphyotrichum_novi-belgii,-79.084413,33.516274
Symphyotrichum_novi-belgii,-78.873889,51.944722
Symphyotrichum_novi-belgii,-78.866667,51.916667
Symphyotrichum_novi-belgii,-78.84644,35.079667
Symphyotrichum_novi-belgii,-78.833333,51.416667
Symphyotrichum_novi-belgii,-78.7829403,52.9166129
Symphyotrichum_novi-belgii,-78.77,51.48
Symphyotrichum_novi-belgii,-78.76667,51.48333
Symphyotrichum_novi-belgii,-78.7664,51.4808
Symphyotrichum_novi-belgii,-78.737222,51.465
Symphyotrichum_novi-belgii,-78.668393,35.806411
Symphyotrichum_novi-belgii,-78.642884,34.269733
Symphyotrichum_novi-belgii,-78.633333,50.9
Symphyotrichum_novi-belgii,-78.377298,35.534826
Symphyotrichum_novi-belgii,-78.345292,34.198027
Symphyotrichum_novi-belgii,-78.333333,51.266667
Symphyotrichum_novi-belgii,-78.227323,34.130139
Symphyotrichum_novi-belgii,-78.129277,38.694149
Symphyotrichum_novi-belgii,-77.947207,40.799231
Symphyotrichum_novi-belgii,-77.913384,34.046743
Symphyotrichum_novi-belgii,-77.880134,34.227416
Symphyotrichum_novi-belgii,-77.451012,39.034133
Symphyotrichum_novi-belgii,-77.389,35.611
Symphyotrichum_novi-belgii,-77.160178,38.824725
Symphyotrichum_novi-belgii,-77.144072,39.088814
Symphyotrichum_novi-belgii,-77.0867,38.8444
Symphyotrichum_novi-belgii,-77.016342,36.395156
Symphyotrichum_novi-belgii,-76.992786,43.264526
Symphyotrichum_novi-belgii,-76.9453,39.0356
Symphyotrichum_novi-belgii,-76.935287,37.397902
Symphyotrichum_novi-belgii,-76.9306,38.9542
Symphyotrichum_novi-belgii,-76.8622,38.9669
Symphyotrichum_novi-belgii,-76.845567,35.478436
Symphyotrichum_novi-belgii,-76.762248,43.091271
Symphyotrichum_novi-belgii,-76.728296,36.459355
Symphyotrichum_novi-belgii,-76.663792,36.320368
Symphyotrichum_novi-belgii,-76.604064,36.412258
Symphyotrichum_novi-belgii,-76.576871,36.541689
Symphyotrichum_novi-belgii,-76.564271,36.270434
Symphyotrichum_novi-belgii,-76.0769,39.4558
Symphyotrichum_novi-belgii,-75.999218,43.04264
Symphyotrichum_novi-belgii,-75.591864,40.611268
Symphyotrichum_novi-belgii,-75.586717,38.371522
Symphyotrichum_novi-belgii,-75.545735,43.407848
Symphyotrichum_novi-belgii,-75.519248,46.10222
Symphyotrichum_novi-belgii,-75.375469,39.772058
Symphyotrichum_novi-belgii,-75.374042,39.697179
Symphyotrichum_novi-belgii,-75.354623,43.681458
Symphyotrichum_novi-belgii,-75.349643,38.391832
Symphyotrichum_novi-belgii,-75.310937,39.733655
Symphyotrichum_novi-belgii,-75.310465,39.747614
Symphyotrichum_novi-belgii,-75.310465,39.776603
Symphyotrichum_novi-belgii,-75.260795,39.827547
Symphyotrichum_novi-belgii,-75.25412,39.327125
Symphyotrichum_novi-belgii,-75.243897,39.5024
Symphyotrichum_novi-belgii,-75.240461,39.815897
Symphyotrichum_novi-belgii,-75.237683,39.790113
Symphyotrichum_novi-belgii,-75.234077,39.456328
Symphyotrichum_novi-belgii,-75.224055,39.799752
Symphyotrichum_novi-belgii,-75.216667,49.416667
Symphyotrichum_novi-belgii,-75.212687,39.452893
Symphyotrichum_novi-belgii,-75.200341,39.391732
Symphyotrichum_novi-belgii,-75.181017,39.538953
Symphyotrichum_novi-belgii,-75.167683,39.525393
Symphyotrichum_novi-belgii,-75.152677,39.838169
Symphyotrichum_novi-belgii,-75.150376,39.792151
Symphyotrichum_novi-belgii,-75.140017,39.83751
Symphyotrichum_novi-belgii,-75.137401,39.858231
Symphyotrichum_novi-belgii,-75.120042,40.170405
Symphyotrichum_novi-belgii,-75.103992,40.197232
Symphyotrichum_novi-belgii,-75.088226,39.773197
Symphyotrichum_novi-belgii,-75.087177,39.675996
Symphyotrichum_novi-belgii,-75.08511,39.53682
Symphyotrichum_novi-belgii,-75.077104,39.621014
Symphyotrichum_novi-belgii,-75.075731,39.618171
Symphyotrichum_novi-belgii,-75.074369,39.766698
Symphyotrichum_novi-belgii,-75.047675,39.569838
Symphyotrichum_novi-belgii,-75.039752,39.462886
Symphyotrichum_novi-belgii,-75.022397,39.526227
Symphyotrichum_novi-belgii,-75.01074,39.846274
Symphyotrichum_novi-belgii,-74.999804,39.367916
Symphyotrichum_novi-belgii,-74.997667,39.838775
Symphyotrichum_novi-belgii,-74.993507,39.369244
Symphyotrichum_novi-belgii,-74.990089,39.394429
Symphyotrichum_novi-belgii,-74.988754,40.026504
Symphyotrichum_novi-belgii,-74.986465,39.402561
