Species,x,y
Symphyotrichum_ontarionis,-99.740833,35.5475
Symphyotrichum_ontarionis,-97.27868,42.87105
Symphyotrichum_ontarionis,-96.946243,42.784565
Symphyotrichum_ontarionis,-96.806667,32.783056
Symphyotrichum_ontarionis,-96.79839,44.19549
Symphyotrichum_ontarionis,-96.787333,42.671917
Symphyotrichum_ontarionis,-96.782476,44.19993
Symphyotrichum_ontarionis,-96.633931,42.761521
Symphyotrichum_ontarionis,-96.529222,42.528417
Symphyotrichum_ontarionis,-96.516456,41.410791
Symphyotrichum_ontarionis,-96.51482,41.40415
Symphyotrichum_ontarionis,-96.50481,42.99583
Symphyotrichum_ontarionis,-96.249742,34.56379
Symphyotrichum_ontarionis,-96.23671,45.214682
Symphyotrichum_ontarionis,-96.071308,40.18548
Symphyotrichum_ontarionis,-96.010691,45.202824
Symphyotrichum_ontarionis,-95.84826,40.74943
Symphyotrichum_ontarionis,-95.742321,40.083872
Symphyotrichum_ontarionis,-95.732622,40.083807
Symphyotrichum_ontarionis,-95.717658,46.32559
Symphyotrichum_ontarionis,-95.612185,45.099837
Symphyotrichum_ontarionis,-95.589521,38.891968
Symphyotrichum_ontarionis,-95.583993,39.245822
Symphyotrichum_ontarionis,-95.557509,39.227323
Symphyotrichum_ontarionis,-95.510444,39.053174
Symphyotrichum_ontarionis,-95.49788,40.207612
Symphyotrichum_ontarionis,-95.437701,39.081429
Symphyotrichum_ontarionis,-95.358333,38.472778
Symphyotrichum_ontarionis,-95.352053,37.42783
Symphyotrichum_ontarionis,-95.351389,44.119444
Symphyotrichum_ontarionis,-95.330972,39.993299
Symphyotrichum_ontarionis,-95.3125,39.21528
Symphyotrichum_ontarionis,-95.307134,39.247168
Symphyotrichum_ontarionis,-95.30713,39.24717
Symphyotrichum_ontarionis,-95.29315,39.03202
Symphyotrichum_ontarionis,-95.242116,38.308573
Symphyotrichum_ontarionis,-95.241215,38.979943
Symphyotrichum_ontarionis,-95.2144,38.702
Symphyotrichum_ontarionis,-95.191351,38.807679
Symphyotrichum_ontarionis,-95.17706,38.804
Symphyotrichum_ontarionis,-95.141655,39.122752
Symphyotrichum_ontarionis,-95.124444,44.548056
Symphyotrichum_ontarionis,-95.058333,43.725556
Symphyotrichum_ontarionis,-95.0403,39.4563
Symphyotrichum_ontarionis,-94.987231,38.698602
Symphyotrichum_ontarionis,-94.96472,39.945
Symphyotrichum_ontarionis,-94.930278,39.365278
Symphyotrichum_ontarionis,-94.92199,38.93567
Symphyotrichum_ontarionis,-94.913745,39.360426
Symphyotrichum_ontarionis,-94.913691,39.335386
Symphyotrichum_ontarionis,-94.894232,39.365317
Symphyotrichum_ontarionis,-94.823424,37.973007
Symphyotrichum_ontarionis,-94.81609,37.51116
Symphyotrichum_ontarionis,-94.799908,44.459877
Symphyotrichum_ontarionis,-94.79355,38.98372
Symphyotrichum_ontarionis,-94.791667,39.158889
Symphyotrichum_ontarionis,-94.764823,46.392835
Symphyotrichum_ontarionis,-94.684861,46.345647
Symphyotrichum_ontarionis,-94.668543,36.173723
Symphyotrichum_ontarionis,-94.641391,37.178516
Symphyotrichum_ontarionis,-94.543113,44.360707
Symphyotrichum_ontarionis,-94.39333,39.15556
Symphyotrichum_ontarionis,-94.362462,46.260643
Symphyotrichum_ontarionis,-94.346731,46.287587
Symphyotrichum_ontarionis,-94.322053,45.543642
Symphyotrichum_ontarionis,-94.31,38.99
Symphyotrichum_ontarionis,-94.26,45.748333
Symphyotrichum_ontarionis,-94.185724,45.189517
Symphyotrichum_ontarionis,-94.043783,45.446339
Symphyotrichum_ontarionis,-94.034444,44.268056
Symphyotrichum_ontarionis,-94.021944,44.261111
Symphyotrichum_ontarionis,-93.948763,44.152568
Symphyotrichum_ontarionis,-93.942778,44.5625
Symphyotrichum_ontarionis,-93.90513,46.279654
Symphyotrichum_ontarionis,-93.885556,44.524167
Symphyotrichum_ontarionis,-93.808094,40.642506
Symphyotrichum_ontarionis,-93.72583,43.640278
Symphyotrichum_ontarionis,-93.675753,32.447121
Symphyotrichum_ontarionis,-93.668053,45.924999
Symphyotrichum_ontarionis,-93.603285,38.734484
Symphyotrichum_ontarionis,-93.565419,44.738249
Symphyotrichum_ontarionis,-93.511556,38.534144
Symphyotrichum_ontarionis,-93.481581,45.522434
Symphyotrichum_ontarionis,-93.47,45.0
Symphyotrichum_ontarionis,-93.415278,43.904722
Symphyotrichum_ontarionis,-93.344349,44.753605
Symphyotrichum_ontarionis,-93.336955,44.708243
Symphyotrichum_ontarionis,-93.287498,43.625
Symphyotrichum_ontarionis,-93.2475,45.07639
Symphyotrichum_ontarionis,-93.237021,44.969959
Symphyotrichum_ontarionis,-93.211311,44.377654
Symphyotrichum_ontarionis,-93.191032,44.392018
Symphyotrichum_ontarionis,-93.191012,44.873906
Symphyotrichum_ontarionis,-93.190728,44.77178
Symphyotrichum_ontarionis,-93.176269,44.863114
Symphyotrichum_ontarionis,-93.166462,44.905162
Symphyotrichum_ontarionis,-93.166387,44.992077
Symphyotrichum_ontarionis,-93.165672,44.77747
Symphyotrichum_ontarionis,-93.156389,44.976667
Symphyotrichum_ontarionis,-93.156333,44.776875
Symphyotrichum_ontarionis,-93.136686,44.744131
Symphyotrichum_ontarionis,-93.135833,44.781833
Symphyotrichum_ontarionis,-93.11048,44.343292
Symphyotrichum_ontarionis,-93.100886,44.327064
Symphyotrichum_ontarionis,-93.019444,44.788611
Symphyotrichum_ontarionis,-93.00665,44.854605
Symphyotrichum_ontarionis,-92.919648,46.92911
Symphyotrichum_ontarionis,-92.91158,46.921372
Symphyotrichum_ontarionis,-92.900458,45.341324
Symphyotrichum_ontarionis,-92.898529,43.521501
Symphyotrichum_ontarionis,-92.878056,44.040556
Symphyotrichum_ontarionis,-92.822794,44.564682
Symphyotrichum_ontarionis,-92.813616,44.768807
Symphyotrichum_ontarionis,-92.81202,44.907173
Symphyotrichum_ontarionis,-92.775701,44.882627
Symphyotrichum_ontarionis,-92.767585,45.262657
Symphyotrichum_ontarionis,-92.767361,45.2623
Symphyotrichum_ontarionis,-92.754345,45.023705
Symphyotrichum_ontarionis,-92.687024,45.481172
Symphyotrichum_ontarionis,-92.67277,39.49416
Symphyotrichum_ontarionis,-92.664013,45.463011
Symphyotrichum_ontarionis,-92.644787,45.426173
Symphyotrichum_ontarionis,-92.553886,44.524723
Symphyotrichum_ontarionis,-92.54901,38.96043
Symphyotrichum_ontarionis,-92.519043,43.536578
Symphyotrichum_ontarionis,-92.496049,45.980424
Symphyotrichum_ontarionis,-92.47777,39.22861
Symphyotrichum_ontarionis,-92.446573,38.946228
Symphyotrichum_ontarionis,-92.311997,38.925022
Symphyotrichum_ontarionis,-92.299304,44.461918
