Species,x,y
Symphyotrichum_patens,-102.987833,31.007389
Symphyotrichum_patens,-99.748889,35.545556
Symphyotrichum_patens,-99.740833,35.5475
Symphyotrichum_patens,-99.013292,30.226179
Symphyotrichum_patens,-98.946481,30.318055
Symphyotrichum_patens,-98.930792,30.227559
Symphyotrichum_patens,-98.7628,34.76383
Symphyotrichum_patens,-98.06334,32.85021
Symphyotrichum_patens,-98.06293,32.85023
Symphyotrichum_patens,-97.812368,34.981232
Symphyotrichum_patens,-97.797254,32.759296
Symphyotrichum_patens,-97.76917,33.38028
Symphyotrichum_patens,-97.668786,32.774591
Symphyotrichum_patens,-97.645302,32.706084
Symphyotrichum_patens,-97.6085,33.3089
Symphyotrichum_patens,-97.605,33.399
Symphyotrichum_patens,-97.594548,33.360093
Symphyotrichum_patens,-97.591438,33.351477
Symphyotrichum_patens,-97.590772,33.407021
Symphyotrichum_patens,-97.5059,33.4088
Symphyotrichum_patens,-97.484847,30.150561
Symphyotrichum_patens,-97.475948,32.826698
Symphyotrichum_patens,-97.472585,32.831688
Symphyotrichum_patens,-97.472288,32.825384
Symphyotrichum_patens,-97.471787,32.825398
Symphyotrichum_patens,-97.470085,32.860715
Symphyotrichum_patens,-97.408277,35.883462
Symphyotrichum_patens,-97.39212,28.54063
Symphyotrichum_patens,-97.3918,28.53823
Symphyotrichum_patens,-97.390593,30.12327
Symphyotrichum_patens,-97.388326,28.668325
Symphyotrichum_patens,-97.342807,29.483518
Symphyotrichum_patens,-97.336947,35.324484
Symphyotrichum_patens,-97.29361,30.071966
Symphyotrichum_patens,-97.28389,28.34083
Symphyotrichum_patens,-97.278211,30.107676
Symphyotrichum_patens,-97.275184,32.745752
Symphyotrichum_patens,-97.271965,30.100409
Symphyotrichum_patens,-97.26861,31.11194
Symphyotrichum_patens,-97.250883,30.104012
Symphyotrichum_patens,-97.228695,30.282452
Symphyotrichum_patens,-97.223647,35.212355
Symphyotrichum_patens,-97.21282,30.14093
Symphyotrichum_patens,-97.182585,30.164337
Symphyotrichum_patens,-97.182506,30.164349
Symphyotrichum_patens,-97.182398,30.112254
Symphyotrichum_patens,-97.17453,30.06381
Symphyotrichum_patens,-97.171877,30.088292
Symphyotrichum_patens,-97.17127,30.08943
Symphyotrichum_patens,-97.17113,30.092018
Symphyotrichum_patens,-97.170799,30.087462
Symphyotrichum_patens,-97.170197,30.05517
Symphyotrichum_patens,-97.168617,30.086998
Symphyotrichum_patens,-97.165446,30.087662
Symphyotrichum_patens,-97.165004,30.086583
Symphyotrichum_patens,-97.16313,30.08426
Symphyotrichum_patens,-97.162892,30.084214
Symphyotrichum_patens,-97.157535,30.163958
Symphyotrichum_patens,-97.154029,29.957133
Symphyotrichum_patens,-97.148752,33.178844
Symphyotrichum_patens,-97.121514,33.154475
Symphyotrichum_patens,-97.112817,34.079255
Symphyotrichum_patens,-97.098159,30.631216
Symphyotrichum_patens,-97.06792,34.482329
Symphyotrichum_patens,-97.063363,35.694228
Symphyotrichum_patens,-97.053501,34.456568
Symphyotrichum_patens,-97.051581,34.400371
Symphyotrichum_patens,-97.027778,34.478889
Symphyotrichum_patens,-97.02024,30.33094
Symphyotrichum_patens,-97.009767,30.115569
Symphyotrichum_patens,-97.002542,36.086681
Symphyotrichum_patens,-96.976846,30.786341
Symphyotrichum_patens,-96.97678,33.93697
Symphyotrichum_patens,-96.958501,34.501522
Symphyotrichum_patens,-96.85956,34.506134
Symphyotrichum_patens,-96.67225,29.73592
Symphyotrichum_patens,-96.672083,29.719567
Symphyotrichum_patens,-96.629201,30.310079
Symphyotrichum_patens,-96.565868,32.641132
Symphyotrichum_patens,-96.532967,31.595387
Symphyotrichum_patens,-96.434125,30.336436
Symphyotrichum_patens,-96.370942,35.902678
Symphyotrichum_patens,-96.334407,30.627977
Symphyotrichum_patens,-96.333463,30.355559
Symphyotrichum_patens,-96.305321,36.208661
Symphyotrichum_patens,-96.29167,29.72361
Symphyotrichum_patens,-96.28574,29.09601
Symphyotrichum_patens,-96.266463,36.140081
Symphyotrichum_patens,-96.25969,37.1267
Symphyotrichum_patens,-96.228624,36.187969
Symphyotrichum_patens,-96.195421,33.753385
Symphyotrichum_patens,-96.173056,37.021944
Symphyotrichum_patens,-96.16636,37.14312
Symphyotrichum_patens,-96.16603,28.72408
Symphyotrichum_patens,-96.166028,28.724083
Symphyotrichum_patens,-96.14809,37.15743
Symphyotrichum_patens,-96.12475,37.36725
Symphyotrichum_patens,-96.123489,36.002588
Symphyotrichum_patens,-96.11562,37.36724
Symphyotrichum_patens,-96.08472,30.47028
Symphyotrichum_patens,-96.046356,37.651315
Symphyotrichum_patens,-96.037222,37.278611
Symphyotrichum_patens,-96.02804,37.68032
