Species,x,y
Symphyotrichum_porteri,-105.808519,40.666551
Symphyotrichum_porteri,-105.60222,40.35333
Symphyotrichum_porteri,-105.5888,39.8122
Symphyotrichum_porteri,-105.58333,39.9
Symphyotrichum_porteri,-105.577025,39.812576
Symphyotrichum_porteri,-105.56668,39.939382
Symphyotrichum_porteri,-105.565082,38.997996
Symphyotrichum_porteri,-105.54706,40.2792
Symphyotrichum_porteri,-105.525558,40.194423
Symphyotrichum_porteri,-105.52433,40.34331
Symphyotrichum_porteri,-105.519607,39.825325
Symphyotrichum_porteri,-105.51716,39.725509
Symphyotrichum_porteri,-105.509305,40.016124
Symphyotrichum_porteri,-105.50853,40.071059
Symphyotrichum_porteri,-105.507615,40.091505
Symphyotrichum_porteri,-105.503078,40.02363
Symphyotrichum_porteri,-105.494622,39.966847
Symphyotrichum_porteri,-105.4668,39.87104
Symphyotrichum_porteri,-105.46444,40.21296
Symphyotrichum_porteri,-105.45,40.63
Symphyotrichum_porteri,-105.449161,40.453872
Symphyotrichum_porteri,-105.440784,39.879581
Symphyotrichum_porteri,-105.436566,40.022457
Symphyotrichum_porteri,-105.434398,40.042717
Symphyotrichum_porteri,-105.433333,40.175278
Symphyotrichum_porteri,-105.423332,40.895
Symphyotrichum_porteri,-105.42138,40.57277
Symphyotrichum_porteri,-105.4185,40.3396
Symphyotrichum_porteri,-105.4175,35.5348
Symphyotrichum_porteri,-105.41382,40.17153
Symphyotrichum_porteri,-105.411389,40.189444
Symphyotrichum_porteri,-105.398557,39.90084
Symphyotrichum_porteri,-105.388247,40.676864
Symphyotrichum_porteri,-105.38,40.24
Symphyotrichum_porteri,-105.379914,39.844189
Symphyotrichum_porteri,-105.37235,40.64736
Symphyotrichum_porteri,-105.36528,39.99387
Symphyotrichum_porteri,-105.361382,39.689432
Symphyotrichum_porteri,-105.357706,40.09246
Symphyotrichum_porteri,-105.3542,41.1966
Symphyotrichum_porteri,-105.33635,40.82051
Symphyotrichum_porteri,-105.3288,40.1974
Symphyotrichum_porteri,-105.325117,40.007933
Symphyotrichum_porteri,-105.323889,40.141667
Symphyotrichum_porteri,-105.31731,39.955574
Symphyotrichum_porteri,-105.301111,40.176389
Symphyotrichum_porteri,-105.300532,39.931888
Symphyotrichum_porteri,-105.296676,39.931301
Symphyotrichum_porteri,-105.295639,39.509878
Symphyotrichum_porteri,-105.290042,39.99974
Symphyotrichum_porteri,-105.287897,39.985564
Symphyotrichum_porteri,-105.283262,38.911393
Symphyotrichum_porteri,-105.282525,39.986667
Symphyotrichum_porteri,-105.27888,39.93194
Symphyotrichum_porteri,-105.2786,41.1388
Symphyotrichum_porteri,-105.276601,39.907842
Symphyotrichum_porteri,-105.276043,39.896592
Symphyotrichum_porteri,-105.270549,40.014977
Symphyotrichum_porteri,-105.269809,39.895014
Symphyotrichum_porteri,-105.2679,39.8918
Symphyotrichum_porteri,-105.2668,39.8923
Symphyotrichum_porteri,-105.2595,41.1962
Symphyotrichum_porteri,-105.249444,39.969312
Symphyotrichum_porteri,-105.232899,39.76866
Symphyotrichum_porteri,-105.232213,39.953856
Symphyotrichum_porteri,-105.224708,35.588444
Symphyotrichum_porteri,-105.2211,39.755543
Symphyotrichum_porteri,-105.212802,39.878031
Symphyotrichum_porteri,-105.2,38.76666
