Species,x,y
Symphyotrichum_praealtum,-108.5,28.5
Symphyotrichum_praealtum,-106.089398,28.635493
Symphyotrichum_praealtum,-103.73603,44.1311
Symphyotrichum_praealtum,-101.741756,34.980206
Symphyotrichum_praealtum,-101.655431,41.26264
Symphyotrichum_praealtum,-100.82317,42.04333
Symphyotrichum_praealtum,-100.57444,41.788034
Symphyotrichum_praealtum,-100.55097,42.50772
Symphyotrichum_praealtum,-100.547834,42.8864
Symphyotrichum_praealtum,-100.530403,41.779412
Symphyotrichum_praealtum,-100.530161,41.779199
Symphyotrichum_praealtum,-100.529121,41.778139
Symphyotrichum_praealtum,-100.5125,41.49477
Symphyotrichum_praealtum,-100.50903,42.90351
Symphyotrichum_praealtum,-100.35,25.183
Symphyotrichum_praealtum,-100.339802,41.91939
Symphyotrichum_praealtum,-100.327601,42.884001
Symphyotrichum_praealtum,-100.297851,25.397029
Symphyotrichum_praealtum,-100.203188,41.422756
Symphyotrichum_praealtum,-100.201389,42.848611
Symphyotrichum_praealtum,-100.19347,41.41526
Symphyotrichum_praealtum,-100.130489,41.843524
Symphyotrichum_praealtum,-100.09889,32.33139
Symphyotrichum_praealtum,-100.023913,35.912288
Symphyotrichum_praealtum,-99.87155,42.182308
Symphyotrichum_praealtum,-99.815278,24.099444
Symphyotrichum_praealtum,-99.78333,30.475
Symphyotrichum_praealtum,-99.743684,42.736151
Symphyotrichum_praealtum,-99.708659,42.548294
Symphyotrichum_praealtum,-99.69901,42.54838
Symphyotrichum_praealtum,-99.49175,30.06058
Symphyotrichum_praealtum,-99.470456,30.058589
Symphyotrichum_praealtum,-99.453638,31.773207
Symphyotrichum_praealtum,-99.4221,27.168
Symphyotrichum_praealtum,-99.39815,41.788099
Symphyotrichum_praealtum,-99.220533,29.980753
Symphyotrichum_praealtum,-99.219665,40.713445
Symphyotrichum_praealtum,-99.14806,30.04028
Symphyotrichum_praealtum,-98.999794,31.774262
Symphyotrichum_praealtum,-98.964533,40.663507
Symphyotrichum_praealtum,-98.949919,40.501236
Symphyotrichum_praealtum,-98.94777,40.49861
Symphyotrichum_praealtum,-98.931675,30.225177
Symphyotrichum_praealtum,-98.744107,29.787164
Symphyotrichum_praealtum,-98.6265,31.270872
Symphyotrichum_praealtum,-98.61391,41.06709
Symphyotrichum_praealtum,-98.6075,29.38667
Symphyotrichum_praealtum,-98.5825,32.5315
Symphyotrichum_praealtum,-98.55,29.83333
Symphyotrichum_praealtum,-98.53119,41.72975
Symphyotrichum_praealtum,-98.488172,29.403518
