Species,x,y
Symphyotrichum_puniceum,-103.962483,44.338303
Symphyotrichum_puniceum,-101.8125,52.644444
Symphyotrichum_puniceum,-101.607042,51.673625
Symphyotrichum_puniceum,-101.24761,53.82553
Symphyotrichum_puniceum,-100.40158,49.00088
Symphyotrichum_puniceum,-99.9,50.658333
Symphyotrichum_puniceum,-99.831297,50.563923
Symphyotrichum_puniceum,-99.757713,50.673992
Symphyotrichum_puniceum,-97.26669,46.52162
Symphyotrichum_puniceum,-97.26669,46.5361
Symphyotrichum_puniceum,-97.24565,46.5361
Symphyotrichum_puniceum,-97.245483,46.656977
Symphyotrichum_puniceum,-97.12753,46.563745
Symphyotrichum_puniceum,-97.08025,46.60513
Symphyotrichum_puniceum,-96.990559,50.662069
Symphyotrichum_puniceum,-96.851069,51.065892
Symphyotrichum_puniceum,-96.6787,44.4051
Symphyotrichum_puniceum,-96.485001,48.613998
Symphyotrichum_puniceum,-95.8859,31.9838
Symphyotrichum_puniceum,-95.741944,46.924722
Symphyotrichum_puniceum,-95.741927,47.193691
Symphyotrichum_puniceum,-95.741574,47.367744
Symphyotrichum_puniceum,-95.739553,46.817132
Symphyotrichum_puniceum,-95.720625,48.474658
Symphyotrichum_puniceum,-95.717658,46.32559
Symphyotrichum_puniceum,-95.628954,47.579109
Symphyotrichum_puniceum,-95.625579,51.78725
Symphyotrichum_puniceum,-95.608349,46.89173
Symphyotrichum_puniceum,-95.603967,47.432911
Symphyotrichum_puniceum,-95.603918,47.418241
Symphyotrichum_puniceum,-95.585964,47.536183
Symphyotrichum_puniceum,-95.574345,49.90251
Symphyotrichum_puniceum,-95.537657,49.995523
Symphyotrichum_puniceum,-95.53222,46.48833
Symphyotrichum_puniceum,-95.527298,49.921088
Symphyotrichum_puniceum,-95.497699,46.983894
Symphyotrichum_puniceum,-95.497,32.6875
Symphyotrichum_puniceum,-95.495419,32.5153
Symphyotrichum_puniceum,-95.466616,50.531981
Symphyotrichum_puniceum,-95.441477,50.649363
Symphyotrichum_puniceum,-95.4268,32.5291
Symphyotrichum_puniceum,-95.42639,32.52944
Symphyotrichum_puniceum,-95.3861,32.7981
Symphyotrichum_puniceum,-95.3825,32.774167
Symphyotrichum_puniceum,-95.3825,32.77417
Symphyotrichum_puniceum,-95.365029,48.993543
Symphyotrichum_puniceum,-95.364771,50.058408
Symphyotrichum_puniceum,-95.3433,32.7553
Symphyotrichum_puniceum,-95.3395,32.7948
Symphyotrichum_puniceum,-95.3394,32.7951
Symphyotrichum_puniceum,-95.33611,32.79444
Symphyotrichum_puniceum,-95.31863,49.813121
Symphyotrichum_puniceum,-95.280133,50.069864
Symphyotrichum_puniceum,-95.265375,49.816733
Symphyotrichum_puniceum,-95.245018,45.434262
Symphyotrichum_puniceum,-95.244129,47.260648
Symphyotrichum_puniceum,-95.234444,46.711111
Symphyotrichum_puniceum,-95.233417,47.282324
Symphyotrichum_puniceum,-95.233216,47.19557
Symphyotrichum_puniceum,-95.212981,46.028758
Symphyotrichum_puniceum,-95.2072,47.2181
Symphyotrichum_puniceum,-95.174459,47.355429
Symphyotrichum_puniceum,-95.171999,47.192555
Symphyotrichum_puniceum,-95.171568,49.74741
Symphyotrichum_puniceum,-95.166835,47.170235
Symphyotrichum_puniceum,-95.16444,47.353937
Symphyotrichum_puniceum,-95.158936,48.663137
Symphyotrichum_puniceum,-95.125556,49.287271
Symphyotrichum_puniceum,-95.12521,49.796226
Symphyotrichum_puniceum,-95.107789,47.195787
Symphyotrichum_puniceum,-95.079264,48.763803
Symphyotrichum_puniceum,-94.948964,48.880054
Symphyotrichum_puniceum,-94.926358,46.259814
Symphyotrichum_puniceum,-94.830807,50.286762
Symphyotrichum_puniceum,-94.8225,47.53639
Symphyotrichum_puniceum,-94.676944,43.906944
Symphyotrichum_puniceum,-94.651016,48.345214
Symphyotrichum_puniceum,-94.549444,44.3625
Symphyotrichum_puniceum,-94.506235,46.187068
Symphyotrichum_puniceum,-94.474935,45.578933
Symphyotrichum_puniceum,-94.469041,47.491615
Symphyotrichum_puniceum,-94.384678,48.73689
Symphyotrichum_puniceum,-94.346119,47.022752
Symphyotrichum_puniceum,-94.343367,48.3543
Symphyotrichum_puniceum,-94.2368,49.679665
Symphyotrichum_puniceum,-94.217305,49.68307
Symphyotrichum_puniceum,-94.192399,45.314687
Symphyotrichum_puniceum,-94.145909,46.653138
Symphyotrichum_puniceum,-94.065982,45.332932
Symphyotrichum_puniceum,-93.983674,45.362173
Symphyotrichum_puniceum,-93.966667,50.75
Symphyotrichum_puniceum,-93.904579,46.323164
Symphyotrichum_puniceum,-93.873915,48.129037
Symphyotrichum_puniceum,-93.784556,47.317045
Symphyotrichum_puniceum,-93.769525,45.552286
Symphyotrichum_puniceum,-93.726179,45.479795
Symphyotrichum_puniceum,-93.678976,48.607632
Symphyotrichum_puniceum,-93.669194,46.065053
Symphyotrichum_puniceum,-93.654969,46.555284
Symphyotrichum_puniceum,-93.613237,44.858995
Symphyotrichum_puniceum,-93.592079,44.855973
Symphyotrichum_puniceum,-93.590916,46.75786
Symphyotrichum_puniceum,-93.542022,44.986825
Symphyotrichum_puniceum,-93.541832,44.986281
Symphyotrichum_puniceum,-93.541767,44.986393
Symphyotrichum_puniceum,-93.522987,47.215547
Symphyotrichum_puniceum,-93.51117,44.926317
Symphyotrichum_puniceum,-93.429159,48.569385
Symphyotrichum_puniceum,-93.329025,44.778069
Symphyotrichum_puniceum,-93.32306,44.97833
Symphyotrichum_puniceum,-93.322042,44.976696
Symphyotrichum_puniceum,-93.288153,44.991926
Symphyotrichum_puniceum,-93.272161,46.252863
Symphyotrichum_puniceum,-93.263836,44.979965
Symphyotrichum_puniceum,-93.244333,46.731563
Symphyotrichum_puniceum,-93.216999,44.825884
Symphyotrichum_puniceum,-93.214819,45.435724
Symphyotrichum_puniceum,-93.213974,45.392178
Symphyotrichum_puniceum,-93.203997,45.428063
Symphyotrichum_puniceum,-93.195,47.40917
Symphyotrichum_puniceum,-93.157413,48.609164
Symphyotrichum_puniceum,-93.154919,46.846017
Symphyotrichum_puniceum,-93.14438,44.789498
Symphyotrichum_puniceum,-93.136139,44.72192
Symphyotrichum_puniceum,-93.128052,48.484722
Symphyotrichum_puniceum,-93.122764,45.017735
Symphyotrichum_puniceum,-93.098389,45.068595
Symphyotrichum_puniceum,-93.084786,44.68813
Symphyotrichum_puniceum,-93.081463,45.340658
Symphyotrichum_puniceum,-93.035609,44.907184
Symphyotrichum_puniceum,-93.03429,47.16964
Symphyotrichum_puniceum,-93.024192,44.785736
Symphyotrichum_puniceum,-93.01685,47.659929
Symphyotrichum_puniceum,-92.99472,45.101081
Symphyotrichum_puniceum,-92.98744,45.426981
Symphyotrichum_puniceum,-92.958438,45.426217
Symphyotrichum_puniceum,-92.944921,44.924864
Symphyotrichum_puniceum,-92.943567,49.72342
Symphyotrichum_puniceum,-92.942117,44.922958
Symphyotrichum_puniceum,-92.919648,46.92911
Symphyotrichum_puniceum,-92.891264,45.608143
Symphyotrichum_puniceum,-92.875407,47.413127
Symphyotrichum_puniceum,-92.870675,46.809279
Symphyotrichum_puniceum,-92.845424,45.202997
Symphyotrichum_puniceum,-92.841012,48.058038
Symphyotrichum_puniceum,-92.838098,48.483546
Symphyotrichum_puniceum,-92.835797,46.018609
Symphyotrichum_puniceum,-92.779167,45.534721
Symphyotrichum_puniceum,-92.777311,45.090515
Symphyotrichum_puniceum,-92.770836,48.504166
Symphyotrichum_puniceum,-92.737347,45.345489
Symphyotrichum_puniceum,-92.716274,45.426028
Symphyotrichum_puniceum,-92.70472,45.32056
Symphyotrichum_puniceum,-92.68547,46.87334
Symphyotrichum_puniceum,-92.671745,46.981601
Symphyotrichum_puniceum,-92.66693,46.85503
Symphyotrichum_puniceum,-92.634065,47.77492
Symphyotrichum_puniceum,-92.625906,47.674124
Symphyotrichum_puniceum,-92.615751,46.37481
Symphyotrichum_puniceum,-92.534906,44.166076
Symphyotrichum_puniceum,-92.534475,49.693424
Symphyotrichum_puniceum,-92.495543,44.555216
Symphyotrichum_puniceum,-92.47728,47.31435
Symphyotrichum_puniceum,-92.476131,48.289421
Symphyotrichum_puniceum,-92.473646,49.782789
Symphyotrichum_puniceum,-92.471152,47.688058
Symphyotrichum_puniceum,-92.438239,46.721608
Symphyotrichum_puniceum,-92.422222,44.283333
Symphyotrichum_puniceum,-92.400844,48.140619
Symphyotrichum_puniceum,-92.388528,46.467443
Symphyotrichum_puniceum,-92.320402,49.583091
Symphyotrichum_puniceum,-92.31937,47.92435
Symphyotrichum_puniceum,-92.248967,47.422706
Symphyotrichum_puniceum,-92.239713,47.415324
Symphyotrichum_puniceum,-92.228929,46.9931
Symphyotrichum_puniceum,-92.190492,47.80804
Symphyotrichum_puniceum,-92.110822,46.811725
Symphyotrichum_puniceum,-92.08825,46.828833
Symphyotrichum_puniceum,-92.087792,46.828903
Symphyotrichum_puniceum,-92.087636,46.836253
Symphyotrichum_puniceum,-92.085672,46.836433
Symphyotrichum_puniceum,-92.078,47.849423
Symphyotrichum_puniceum,-92.06564,46.82103
Symphyotrichum_puniceum,-92.053461,46.740509
Symphyotrichum_puniceum,-92.032352,46.848174
Symphyotrichum_puniceum,-91.9925,44.259167
Symphyotrichum_puniceum,-91.90819,47.1571
Symphyotrichum_puniceum,-91.905524,48.488043
Symphyotrichum_puniceum,-91.875275,47.895557
Symphyotrichum_puniceum,-91.869968,48.186787
Symphyotrichum_puniceum,-91.867087,47.903237
Symphyotrichum_puniceum,-91.863148,48.020352
Symphyotrichum_puniceum,-91.855943,47.155272
Symphyotrichum_puniceum,-91.830969,42.056257
Symphyotrichum_puniceum,-91.828613,47.759724
Symphyotrichum_puniceum,-91.793623,47.872633
Symphyotrichum_puniceum,-91.775095,46.39347
Symphyotrichum_puniceum,-91.771928,46.385825
Symphyotrichum_puniceum,-91.748027,43.997785
Symphyotrichum_puniceum,-91.725322,47.899367
Symphyotrichum_puniceum,-91.717457,47.898498
Symphyotrichum_puniceum,-91.711515,47.527652
Symphyotrichum_puniceum,-91.618862,48.031651
Symphyotrichum_puniceum,-91.555697,48.019039
Symphyotrichum_puniceum,-91.431985,43.630682
Symphyotrichum_puniceum,-91.42691,47.167487
Symphyotrichum_puniceum,-91.420894,47.80264
Symphyotrichum_puniceum,-91.395562,49.816608
Symphyotrichum_puniceum,-91.384167,37.474167
Symphyotrichum_puniceum,-91.367443,48.741313
Symphyotrichum_puniceum,-91.363551,46.795132
Symphyotrichum_puniceum,-91.328889,47.646667
Symphyotrichum_puniceum,-91.29444,37.40944
Symphyotrichum_puniceum,-91.294303,44.960741
Symphyotrichum_puniceum,-91.278368,47.358037
Symphyotrichum_puniceum,-91.274444,37.564722
Symphyotrichum_puniceum,-91.23802,37.73442
Symphyotrichum_puniceum,-91.214862,47.346668
Symphyotrichum_puniceum,-91.20224,47.395088
Symphyotrichum_puniceum,-91.191,47.3845
Symphyotrichum_puniceum,-91.190612,47.38171
Symphyotrichum_puniceum,-91.188628,47.379264
Symphyotrichum_puniceum,-91.188612,47.37927
Symphyotrichum_puniceum,-91.186731,47.378746
Symphyotrichum_puniceum,-91.149182,48.709031
Symphyotrichum_puniceum,-91.130756,48.668335
Symphyotrichum_puniceum,-91.128575,48.669631
Symphyotrichum_puniceum,-91.093055,37.431806
Symphyotrichum_puniceum,-91.091667,37.608333
Symphyotrichum_puniceum,-91.087921,47.933219
Symphyotrichum_puniceum,-91.066595,47.472938
Symphyotrichum_puniceum,-91.06524,37.59419
Symphyotrichum_puniceum,-91.05529,48.669855
Symphyotrichum_puniceum,-90.96303,46.586395
Symphyotrichum_puniceum,-90.961141,46.585444
Symphyotrichum_puniceum,-90.923867,46.579845
Symphyotrichum_puniceum,-90.921789,46.579949
Symphyotrichum_puniceum,-90.912522,48.215118
Symphyotrichum_puniceum,-90.89861,37.1325
Symphyotrichum_puniceum,-90.846376,47.812636
Symphyotrichum_puniceum,-90.828683,38.480167
Symphyotrichum_puniceum,-90.8075,38.4753
Symphyotrichum_puniceum,-90.803753,48.084497
Symphyotrichum_puniceum,-90.787821,44.744276
Symphyotrichum_puniceum,-90.746389,47.903889
Symphyotrichum_puniceum,-90.7367,38.07753
Symphyotrichum_puniceum,-90.709827,49.295107
Symphyotrichum_puniceum,-90.447457,48.019271
Symphyotrichum_puniceum,-90.444566,45.972678
Symphyotrichum_puniceum,-90.416667,48.133333
Symphyotrichum_puniceum,-90.3528,43.4756
Symphyotrichum_puniceum,-90.304193,47.806343
Symphyotrichum_puniceum,-90.303113,45.572354
Symphyotrichum_puniceum,-90.259783,38.611233
Symphyotrichum_puniceum,-90.228611,47.864444
Symphyotrichum_puniceum,-90.172144,46.39176
Symphyotrichum_puniceum,-90.160795,45.364404
Symphyotrichum_puniceum,-90.156058,48.04164
Symphyotrichum_puniceum,-90.124576,44.439128
Symphyotrichum_puniceum,-90.055527,48.018792
Symphyotrichum_puniceum,-90.041389,48.06
Symphyotrichum_puniceum,-90.01162,45.964477
Symphyotrichum_puniceum,-89.982794,43.354633
Symphyotrichum_puniceum,-89.976272,46.170783
Symphyotrichum_puniceum,-89.95217,43.338366
Symphyotrichum_puniceum,-89.89064,40.44803
Symphyotrichum_puniceum,-89.81096,43.565917
Symphyotrichum_puniceum,-89.798585,43.401475
Symphyotrichum_puniceum,-89.703576,47.958468
Symphyotrichum_puniceum,-89.7,48.05
Symphyotrichum_puniceum,-89.676522,47.969522
Symphyotrichum_puniceum,-89.670204,43.395738
Symphyotrichum_puniceum,-89.662,47.970896
Symphyotrichum_puniceum,-89.633333,48.183333
Symphyotrichum_puniceum,-89.615432,48.391565
Symphyotrichum_puniceum,-89.591408,48.661518
Symphyotrichum_puniceum,-89.569661,48.181794
Symphyotrichum_puniceum,-89.569013,48.368376
Symphyotrichum_puniceum,-89.559096,48.169264
Symphyotrichum_puniceum,-89.533333,48.233333
Symphyotrichum_puniceum,-89.527107,48.373104
Symphyotrichum_puniceum,-89.502848,48.052035
Symphyotrichum_puniceum,-89.469986,46.340439
Symphyotrichum_puniceum,-89.452663,43.393238
Symphyotrichum_puniceum,-89.428761,40.715999
Symphyotrichum_puniceum,-89.401608,46.629836
Symphyotrichum_puniceum,-89.35931,46.738927
Symphyotrichum_puniceum,-89.340737,43.163856
Symphyotrichum_puniceum,-89.333728,48.441101
Symphyotrichum_puniceum,-89.332861,46.183149
Symphyotrichum_puniceum,-89.332356,41.270039
Symphyotrichum_puniceum,-89.323162,41.210468
Symphyotrichum_puniceum,-89.322309,41.213492
Symphyotrichum_puniceum,-89.321603,41.214787
Symphyotrichum_puniceum,-89.321595,41.215112
Symphyotrichum_puniceum,-89.320542,48.330863
Symphyotrichum_puniceum,-89.320463,48.330905
Symphyotrichum_puniceum,-89.319672,48.329005
Symphyotrichum_puniceum,-89.316667,48.35
Symphyotrichum_puniceum,-89.31344,48.598671
Symphyotrichum_puniceum,-89.298804,43.006877
Symphyotrichum_puniceum,-89.281115,48.469159
Symphyotrichum_puniceum,-89.280667,48.362538
Symphyotrichum_puniceum,-89.265244,48.419221
Symphyotrichum_puniceum,-89.261496,48.441544
Symphyotrichum_puniceum,-89.25,48.433333
Symphyotrichum_puniceum,-89.246773,48.450696
Symphyotrichum_puniceum,-89.218889,44.818889
Symphyotrichum_puniceum,-89.192295,46.223628
Symphyotrichum_puniceum,-89.17683,51.749188
Symphyotrichum_puniceum,-89.061855,43.099873
Symphyotrichum_puniceum,-89.007989,48.520733
Symphyotrichum_puniceum,-88.944214,42.199981
Symphyotrichum_puniceum,-88.821205,48.475205
Symphyotrichum_puniceum,-88.8167,42.3333
