Species,x,y
Symphyotrichum_regnellii,-56.2,-15.48
Symphyotrichum_regnellii,-52.761111,-19.262222
Symphyotrichum_regnellii,-52.453889,-19.154444
Symphyotrichum_regnellii,-51.391944,-27.091389
Symphyotrichum_regnellii,-51.179167,-29.168333
Symphyotrichum_regnellii,-50.9667,-28.9833
Symphyotrichum_regnellii,-50.815556,-29.365833
Symphyotrichum_regnellii,-50.583333,-29.448333
Symphyotrichum_regnellii,-50.55,-25.41
Symphyotrichum_regnellii,-50.451667,-18.448333
Symphyotrichum_regnellii,-50.133056,-18.426944
Symphyotrichum_regnellii,-49.635278,-28.140278
Symphyotrichum_regnellii,-49.613333,-28.146389
Symphyotrichum_regnellii,-49.363056,-26.28
Symphyotrichum_regnellii,-49.359167,-26.282222
Symphyotrichum_regnellii,-48.616111,-24.444167
Symphyotrichum_regnellii,-47.150278,-20.286111
Symphyotrichum_regnellii,-43.681667,-20.501389
Symphyotrichum_regnellii,-43.405556,-20.300556
