Species,x,y
Symphyotrichum_simmondsii,-84.242083,30.180333
Symphyotrichum_simmondsii,-84.14667,30.151129
Symphyotrichum_simmondsii,-83.469833,29.862861
Symphyotrichum_simmondsii,-83.469083,29.744694
Symphyotrichum_simmondsii,-83.22765,30.126041
Symphyotrichum_simmondsii,-82.794718,29.939243
Symphyotrichum_simmondsii,-82.751972,29.223639
Symphyotrichum_simmondsii,-82.661978,27.736892
Symphyotrichum_simmondsii,-82.630813,28.261008
Symphyotrichum_simmondsii,-82.601934,28.554529
Symphyotrichum_simmondsii,-82.53966,27.556462
Symphyotrichum_simmondsii,-82.482715,27.351899
Symphyotrichum_simmondsii,-82.480951,27.35016
Symphyotrichum_simmondsii,-82.472724,27.237268
Symphyotrichum_simmondsii,-82.422875,29.72081
Symphyotrichum_simmondsii,-82.37218,29.653073
Symphyotrichum_simmondsii,-82.331537,27.093527
Symphyotrichum_simmondsii,-82.267206,27.255994
Symphyotrichum_simmondsii,-82.059814,29.411907
Symphyotrichum_simmondsii,-82.012356,29.361263
Symphyotrichum_simmondsii,-81.936584,30.157783
Symphyotrichum_simmondsii,-81.93159,26.864961
Symphyotrichum_simmondsii,-81.869408,29.567113
Symphyotrichum_simmondsii,-81.814788,26.546945
Symphyotrichum_simmondsii,-81.7952,29.8069
Symphyotrichum_simmondsii,-81.767454,26.464063
Symphyotrichum_simmondsii,-81.766692,26.46282
Symphyotrichum_simmondsii,-81.7562,29.535957
Symphyotrichum_simmondsii,-81.740562,26.641362
Symphyotrichum_simmondsii,-81.685353,28.852768
Symphyotrichum_simmondsii,-81.609381,30.630199
Symphyotrichum_simmondsii,-81.605927,26.375378
Symphyotrichum_simmondsii,-81.575828,28.669047
Symphyotrichum_simmondsii,-81.557297,26.456013
Symphyotrichum_simmondsii,-81.530349,27.471153
Symphyotrichum_simmondsii,-81.513745,26.161911
Symphyotrichum_simmondsii,-81.491447,29.782408
Symphyotrichum_simmondsii,-81.49044,27.82693
Symphyotrichum_simmondsii,-81.484676,28.02383
Symphyotrichum_simmondsii,-81.480394,30.300955
Symphyotrichum_simmondsii,-81.477429,28.863429
Symphyotrichum_simmondsii,-81.40829,26.155515
Symphyotrichum_simmondsii,-81.4066,26.611878
Symphyotrichum_simmondsii,-81.405542,26.62465
Symphyotrichum_simmondsii,-81.344139,29.358694
Symphyotrichum_simmondsii,-81.321114,29.814444
Symphyotrichum_simmondsii,-81.314933,28.825067
Symphyotrichum_simmondsii,-81.295144,29.718528
Symphyotrichum_simmondsii,-81.283763,28.784301
Symphyotrichum_simmondsii,-81.277113,29.859387
Symphyotrichum_simmondsii,-81.187236,29.137814
Symphyotrichum_simmondsii,-81.180553,26.481175
Symphyotrichum_simmondsii,-81.178961,29.479575
Symphyotrichum_simmondsii,-81.071561,26.170495
Symphyotrichum_simmondsii,-81.048294,29.20693
Symphyotrichum_simmondsii,-81.045306,27.584087
Symphyotrichum_simmondsii,-80.949995,28.495862
Symphyotrichum_simmondsii,-80.93944,25.74666
Symphyotrichum_simmondsii,-80.881726,25.681574
Symphyotrichum_simmondsii,-80.76642,25.758947
Symphyotrichum_simmondsii,-80.752315,28.658108
Symphyotrichum_simmondsii,-80.737934,25.404781
Symphyotrichum_simmondsii,-80.71589,28.645178
Symphyotrichum_simmondsii,-80.699263,28.609697
Symphyotrichum_simmondsii,-80.622067,25.384541
Symphyotrichum_simmondsii,-80.52948,27.138303
Symphyotrichum_simmondsii,-80.528367,27.768895
Symphyotrichum_simmondsii,-80.515612,27.030897
Symphyotrichum_simmondsii,-80.463355,27.162022
Symphyotrichum_simmondsii,-80.462578,27.162031
Symphyotrichum_simmondsii,-80.432922,27.165936
Symphyotrichum_simmondsii,-80.4235,27.161667
Symphyotrichum_simmondsii,-80.364041,26.130403
Symphyotrichum_simmondsii,-80.336722,27.129014
Symphyotrichum_simmondsii,-80.336228,26.971237
Symphyotrichum_simmondsii,-80.331405,27.128081
Symphyotrichum_simmondsii,-80.319712,26.967663
Symphyotrichum_simmondsii,-80.288155,26.963888
Symphyotrichum_simmondsii,-80.27607,26.073831
Symphyotrichum_simmondsii,-80.250658,25.972973
Symphyotrichum_simmondsii,-80.249138,27.125189
Symphyotrichum_simmondsii,-80.248978,27.098197
Symphyotrichum_simmondsii,-80.24772,27.125753
Symphyotrichum_simmondsii,-80.246672,27.122272
Symphyotrichum_simmondsii,-80.224215,25.787559
Symphyotrichum_simmondsii,-80.222197,27.131692
Symphyotrichum_simmondsii,-80.220955,27.128345
Symphyotrichum_simmondsii,-80.219908,27.101467
Symphyotrichum_simmondsii,-80.210143,25.780504
Symphyotrichum_simmondsii,-80.188466,26.22348
Symphyotrichum_simmondsii,-80.187705,26.31918
Symphyotrichum_simmondsii,-80.178025,26.897317
Symphyotrichum_simmondsii,-80.175478,34.963113
Symphyotrichum_simmondsii,-80.163306,26.997514
Symphyotrichum_simmondsii,-80.142479,26.146027
Symphyotrichum_simmondsii,-80.122125,27.010764
Symphyotrichum_simmondsii,-80.121886,27.0109
Symphyotrichum_simmondsii,-80.117592,27.010642
Symphyotrichum_simmondsii,-79.1637,33.5088
Symphyotrichum_simmondsii,-78.841333,34.201518
Symphyotrichum_simmondsii,-78.572878,34.157099
Symphyotrichum_simmondsii,-78.408613,33.965389
