Species,x,y
Symphyotrichum_subspicatum,-149.1,60.51
Symphyotrichum_subspicatum,-148.966861,60.84425
Symphyotrichum_subspicatum,-143.18806,60.07413
Symphyotrichum_subspicatum,-142.917617,60.094367
Symphyotrichum_subspicatum,-136.838127,58.797428
Symphyotrichum_subspicatum,-136.18,58.757778
Symphyotrichum_subspicatum,-136.1,59.033
Symphyotrichum_subspicatum,-136.023845,59.459125
Symphyotrichum_subspicatum,-135.850207,59.385749
Symphyotrichum_subspicatum,-135.51,59.24
Symphyotrichum_subspicatum,-135.389671,57.123562
Symphyotrichum_subspicatum,-135.255289,57.040671
Symphyotrichum_subspicatum,-135.198815,57.058247
Symphyotrichum_subspicatum,-135.193908,57.059803
Symphyotrichum_subspicatum,-135.182648,57.023542
Symphyotrichum_subspicatum,-134.603211,58.372294
Symphyotrichum_subspicatum,-134.571991,58.403092
Symphyotrichum_subspicatum,-134.546423,58.416639
Symphyotrichum_subspicatum,-134.546245,58.415567
Symphyotrichum_subspicatum,-134.546219,58.419054
Symphyotrichum_subspicatum,-134.545296,58.417889
Symphyotrichum_subspicatum,-134.533876,58.418
Symphyotrichum_subspicatum,-134.502687,58.267283
Symphyotrichum_subspicatum,-134.198583,56.916789
Symphyotrichum_subspicatum,-133.833333,58.35
Symphyotrichum_subspicatum,-133.63422,58.025092
Symphyotrichum_subspicatum,-133.633333,58.583333
Symphyotrichum_subspicatum,-133.185692,57.700873
Symphyotrichum_subspicatum,-132.8819,57.338373
Symphyotrichum_subspicatum,-132.564284,53.596663
Symphyotrichum_subspicatum,-132.13382,52.962302
Symphyotrichum_subspicatum,-131.85,52.683333
Symphyotrichum_subspicatum,-131.650304,55.997519
Symphyotrichum_subspicatum,-131.642888,55.342682
Symphyotrichum_subspicatum,-131.621897,55.974734
Symphyotrichum_subspicatum,-130.316667,54.316667
Symphyotrichum_subspicatum,-130.283333,53.416667
Symphyotrichum_subspicatum,-130.024722,55.916944
Symphyotrichum_subspicatum,-130.000278,55.936111
Symphyotrichum_subspicatum,-129.3,54.333333
Symphyotrichum_subspicatum,-128.410744,50.774082
Symphyotrichum_subspicatum,-127.866667,53.25
Symphyotrichum_subspicatum,-127.8,50.466667
Symphyotrichum_subspicatum,-127.766667,53.166667
Symphyotrichum_subspicatum,-127.266667,50.633333
Symphyotrichum_subspicatum,-127.083333,52.883333
Symphyotrichum_subspicatum,-126.45,50.15
Symphyotrichum_subspicatum,-126.148333,51.055556
Symphyotrichum_subspicatum,-126.093333,52.76
Symphyotrichum_subspicatum,-126.075,52.766667
Symphyotrichum_subspicatum,-125.9,50.583333
Symphyotrichum_subspicatum,-125.846667,53.491667
Symphyotrichum_subspicatum,-125.733333,52.55
Symphyotrichum_subspicatum,-125.625,49.700833
Symphyotrichum_subspicatum,-125.616667,49.688333
Symphyotrichum_subspicatum,-125.616667,49.7
Symphyotrichum_subspicatum,-125.561667,49.455
Symphyotrichum_subspicatum,-125.553333,49.446667
Symphyotrichum_subspicatum,-125.433333,49.230556
Symphyotrichum_subspicatum,-125.433333,49.233333
Symphyotrichum_subspicatum,-125.333333,49.7
Symphyotrichum_subspicatum,-125.301729,50.140139
Symphyotrichum_subspicatum,-125.3,49.733333
Symphyotrichum_subspicatum,-125.28,49.191667
Symphyotrichum_subspicatum,-125.28,49.2
Symphyotrichum_subspicatum,-125.240556,56.078333
