Species,x,y
Symphyotrichum_subulatum,-108.5,28.5
Symphyotrichum_subulatum,-108.344498,29.97084
Symphyotrichum_subulatum,-106.578333,27.132778
Symphyotrichum_subulatum,-106.1833,28.8511
Symphyotrichum_subulatum,-105.979167,25.032222
Symphyotrichum_subulatum,-105.504701,28.25745
Symphyotrichum_subulatum,-105.503345,28.25828
Symphyotrichum_subulatum,-105.503034,28.258434
Symphyotrichum_subulatum,-105.500681,28.259489
Symphyotrichum_subulatum,-105.485322,28.261483
Symphyotrichum_subulatum,-105.482597,28.26446
Symphyotrichum_subulatum,-105.482392,28.259994
Symphyotrichum_subulatum,-105.477175,28.262875
Symphyotrichum_subulatum,-105.475456,28.261362
Symphyotrichum_subulatum,-105.475008,28.26197
Symphyotrichum_subulatum,-105.474482,28.262286
Symphyotrichum_subulatum,-105.471842,28.263226
Symphyotrichum_subulatum,-105.467551,28.264506
Symphyotrichum_subulatum,-105.462822,28.269922
Symphyotrichum_subulatum,-105.447927,28.264513
Symphyotrichum_subulatum,-105.44,28.14
Symphyotrichum_subulatum,-105.438945,28.290337
Symphyotrichum_subulatum,-105.437198,28.291645
Symphyotrichum_subulatum,-105.436608,28.290646
Symphyotrichum_subulatum,-105.436238,28.290148
Symphyotrichum_subulatum,-105.435733,28.290532
Symphyotrichum_subulatum,-105.38873,28.320105
Symphyotrichum_subulatum,-105.3,26.57
Symphyotrichum_subulatum,-105.160072,23.885523
Symphyotrichum_subulatum,-104.985556,30.786944
Symphyotrichum_subulatum,-104.742979,31.954171
Symphyotrichum_subulatum,-104.74,25.56
Symphyotrichum_subulatum,-104.710358,23.96812
Symphyotrichum_subulatum,-104.476033,31.866249
Symphyotrichum_subulatum,-104.467869,31.866667
Symphyotrichum_subulatum,-104.457718,29.900195
Symphyotrichum_subulatum,-104.295306,29.524583
Symphyotrichum_subulatum,-104.240522,29.999803
Symphyotrichum_subulatum,-104.14002,30.715478
Symphyotrichum_subulatum,-104.1311,23.435
Symphyotrichum_subulatum,-103.98056,29.47222
Symphyotrichum_subulatum,-103.894539,30.58725
Symphyotrichum_subulatum,-103.845083,26.895278
Symphyotrichum_subulatum,-103.83333,30.26666
Symphyotrichum_subulatum,-103.803834,30.53489
Symphyotrichum_subulatum,-103.794361,26.668561
Symphyotrichum_subulatum,-103.760194,26.750333
Symphyotrichum_subulatum,-103.732194,26.583889
Symphyotrichum_subulatum,-103.629861,26.645861
Symphyotrichum_subulatum,-103.629722,26.645833
Symphyotrichum_subulatum,-103.612633,29.165843
Symphyotrichum_subulatum,-103.593034,30.083264
Symphyotrichum_subulatum,-103.4417,25.5444
Symphyotrichum_subulatum,-103.393782,31.461245
Symphyotrichum_subulatum,-103.339118,29.222963
Symphyotrichum_subulatum,-102.991667,29.183333
Symphyotrichum_subulatum,-102.72361,34.41681
Symphyotrichum_subulatum,-102.72333,34.02328
Symphyotrichum_subulatum,-102.716667,29.658333
Symphyotrichum_subulatum,-102.68952,33.8948
Symphyotrichum_subulatum,-102.664096,34.032586
Symphyotrichum_subulatum,-102.55154,33.84447
Symphyotrichum_subulatum,-102.472669,34.753493
Symphyotrichum_subulatum,-102.460175,34.763757
Symphyotrichum_subulatum,-102.40894,35.25816
Symphyotrichum_subulatum,-102.3775,33.68879
Symphyotrichum_subulatum,-102.3589,35.2294
Symphyotrichum_subulatum,-102.25317,35.88548
Symphyotrichum_subulatum,-102.120793,34.897054
Symphyotrichum_subulatum,-102.02296,34.54414
Symphyotrichum_subulatum,-102.00135,33.1665
Symphyotrichum_subulatum,-101.914,34.982284
Symphyotrichum_subulatum,-101.85107,36.01667
Symphyotrichum_subulatum,-101.82887,33.98155
Symphyotrichum_subulatum,-101.81999,36.21982
Symphyotrichum_subulatum,-101.818053,33.752693
Symphyotrichum_subulatum,-101.74784,32.72815
Symphyotrichum_subulatum,-101.686905,21.178116
Symphyotrichum_subulatum,-101.679903,21.176922
Symphyotrichum_subulatum,-101.666667,20.39
Symphyotrichum_subulatum,-101.60863,34.41264
Symphyotrichum_subulatum,-101.5934,35.34537
Symphyotrichum_subulatum,-101.536997,33.056207
Symphyotrichum_subulatum,-101.53165,36.20692
Symphyotrichum_subulatum,-101.521534,25.635577
Symphyotrichum_subulatum,-101.499288,33.296822
Symphyotrichum_subulatum,-101.493069,35.285206
Symphyotrichum_subulatum,-101.491009,35.281842
Symphyotrichum_subulatum,-101.47614,34.05915
