Species,x,y
Symphyotrichum_tradescanti,-77.943607,43.083082
Symphyotrichum_tradescanti,-77.0919,45.847
Symphyotrichum_tradescanti,-77.025,45.817
Symphyotrichum_tradescanti,-76.869404,42.036741
Symphyotrichum_tradescanti,-75.729244,45.471288
Symphyotrichum_tradescanti,-75.035178,39.245948
Symphyotrichum_tradescanti,-74.163571,40.912354
Symphyotrichum_tradescanti,-74.15777,40.86388
Symphyotrichum_tradescanti,-74.04861,43.73861
Symphyotrichum_tradescanti,-73.887014,40.897042
Symphyotrichum_tradescanti,-73.884987,40.683849
Symphyotrichum_tradescanti,-73.687768,40.757075
Symphyotrichum_tradescanti,-73.65,45.516667
Symphyotrichum_tradescanti,-73.516,45.531
Symphyotrichum_tradescanti,-73.375504,40.74638
Symphyotrichum_tradescanti,-73.266667,45.433333
Symphyotrichum_tradescanti,-73.244806,40.889972
Symphyotrichum_tradescanti,-73.23124,44.48735
Symphyotrichum_tradescanti,-73.18447,44.49492
Symphyotrichum_tradescanti,-73.08868,44.43457
Symphyotrichum_tradescanti,-73.06565,44.51953
Symphyotrichum_tradescanti,-73.03027,43.4075
Symphyotrichum_tradescanti,-72.97972,43.60888
Symphyotrichum_tradescanti,-72.61441,42.86187
Symphyotrichum_tradescanti,-72.59856,42.61403
Symphyotrichum_tradescanti,-72.591981,42.569258
Symphyotrichum_tradescanti,-72.52592,42.76233
Symphyotrichum_tradescanti,-72.50686,42.36447
Symphyotrichum_tradescanti,-72.50139,43.18147
Symphyotrichum_tradescanti,-72.43549,43.57413
Symphyotrichum_tradescanti,-71.4,46.7
Symphyotrichum_tradescanti,-71.383521,46.708516
Symphyotrichum_tradescanti,-71.366667,46.7
Symphyotrichum_tradescanti,-71.3314,46.73
Symphyotrichum_tradescanti,-71.3176,46.7497
Symphyotrichum_tradescanti,-71.284356,46.7159
Symphyotrichum_tradescanti,-71.2603,46.7481
Symphyotrichum_tradescanti,-71.25,46.683333
Symphyotrichum_tradescanti,-71.2,46.58
Symphyotrichum_tradescanti,-71.1302,46.84506
Symphyotrichum_tradescanti,-71.12916,42.20027
Symphyotrichum_tradescanti,-71.12,46.83
Symphyotrichum_tradescanti,-71.08754,44.38962
Symphyotrichum_tradescanti,-71.02,46.83
Symphyotrichum_tradescanti,-71.016667,46.833333
Symphyotrichum_tradescanti,-70.966667,46.916667
Symphyotrichum_tradescanti,-70.92,46.87
Symphyotrichum_tradescanti,-70.8,46.866667
Symphyotrichum_tradescanti,-70.8,46.87
Symphyotrichum_tradescanti,-70.783333,46.2
Symphyotrichum_tradescanti,-70.78,46.2
Symphyotrichum_tradescanti,-70.75,46.2
Symphyotrichum_tradescanti,-70.67555,45.34305
Symphyotrichum_tradescanti,-70.663,45.78199
Symphyotrichum_tradescanti,-70.61166,44.22888
Symphyotrichum_tradescanti,-69.62111,44.54694
Symphyotrichum_tradescanti,-69.122492,44.277157
Symphyotrichum_tradescanti,-69.10305,44.25305
Symphyotrichum_tradescanti,-68.71656,44.88669
Symphyotrichum_tradescanti,-68.699944,44.829071
Symphyotrichum_tradescanti,-68.20408,45.56674
Symphyotrichum_tradescanti,-67.523326,44.722021
Symphyotrichum_tradescanti,-67.51861,44.71972
Symphyotrichum_tradescanti,-66.108735,47.390195
Symphyotrichum_tradescanti,-65.991667,43.916667
Symphyotrichum_tradescanti,-65.883545,43.927997
Symphyotrichum_tradescanti,-65.814167,43.970556
Symphyotrichum_tradescanti,-64.876321,44.29036
Symphyotrichum_tradescanti,-64.876264,44.290455
Symphyotrichum_tradescanti,-59.275932,47.658676
Symphyotrichum_tradescanti,-58.23584,48.424948
