Species,x,y
Symphyotrichum_trilineatum,-100.359451,25.617677
Symphyotrichum_trilineatum,-100.271,19.51439
Symphyotrichum_trilineatum,-99.86667,24.81667
Symphyotrichum_trilineatum,-99.85,24.8
Symphyotrichum_trilineatum,-99.83333,24.95
Symphyotrichum_trilineatum,-99.81667,23.95
Symphyotrichum_trilineatum,-99.75,23.7
Symphyotrichum_trilineatum,-99.3,19.616667
Symphyotrichum_trilineatum,-98.796667,19.471667
Symphyotrichum_trilineatum,-98.369024,19.075797
Symphyotrichum_trilineatum,-98.346594,19.081272
Symphyotrichum_trilineatum,-98.27211,20.179811
Symphyotrichum_trilineatum,-98.224445,19.056452
Symphyotrichum_trilineatum,-97.71961,17.22614
Symphyotrichum_trilineatum,-94.18333,16.68333
Symphyotrichum_trilineatum,-94.18333,16.78333
Symphyotrichum_trilineatum,-94.13333,16.71667
Symphyotrichum_trilineatum,-94.133,16.717
Symphyotrichum_trilineatum,-92.664323,16.718321
Symphyotrichum_trilineatum,-92.637619,16.737036
Symphyotrichum_trilineatum,-92.602853,16.726575
Symphyotrichum_trilineatum,-92.60273,16.733854
Symphyotrichum_trilineatum,-92.348611,16.908056
Symphyotrichum_trilineatum,-92.09422,16.36394
Symphyotrichum_trilineatum,-91.536944,15.131945
