Species,x,y
Symphyotrichum_vahlii,-74.176944,-42.465
Symphyotrichum_vahlii,-74.166667,-42.45
Symphyotrichum_vahlii,-74.016853,-43.137432
Symphyotrichum_vahlii,-73.268611,-39.827778
Symphyotrichum_vahlii,-72.95,-41.47
Symphyotrichum_vahlii,-72.876944,-50.977222
Symphyotrichum_vahlii,-72.27,-41.22
Symphyotrichum_vahlii,-72.11786,-47.92071
Symphyotrichum_vahlii,-71.680278,-39.014722
Symphyotrichum_vahlii,-71.465833,-36.874167
Symphyotrichum_vahlii,-71.41666,-36.83333
Symphyotrichum_vahlii,-71.0,-41.216
Symphyotrichum_vahlii,-69.1844,-55.0286
Symphyotrichum_vahlii,-65.7873,-54.6763
Symphyotrichum_vahlii,-65.5856,-54.6671
Symphyotrichum_vahlii,-58.37,-51.88
Symphyotrichum_vahlii,-57.857222,-51.697778
Symphyotrichum_vahlii,-57.85,-51.68
Symphyotrichum_vahlii,-57.75143,-51.686383
Symphyotrichum_vahlii,-57.742722,-51.690903
