Species,x,y
Symphyotrichum_yukonense,-161.168611,67.978056
Symphyotrichum_yukonense,-158.5,67.0
Symphyotrichum_yukonense,-139.76,61.68
Symphyotrichum_yukonense,-138.693192,61.001289
Symphyotrichum_yukonense,-138.655778,60.93978
Symphyotrichum_yukonense,-138.615158,60.952867
Symphyotrichum_yukonense,-138.55,60.98
Symphyotrichum_yukonense,-138.526508,61.013389
Symphyotrichum_yukonense,-138.516667,61.016667
Symphyotrichum_yukonense,-138.5,61.0
Symphyotrichum_yukonense,-138.5,65.066667
Symphyotrichum_yukonense,-138.408,61.026
Symphyotrichum_yukonense,-138.4,61.0
Symphyotrichum_yukonense,-127.9,63.75
Symphyotrichum_yukonense,-124.076253,61.294697
