Age_GTS2004	d18O_adj	d18O_adj_5pt_average	temp_C
0	2.51	2.55	6.44535
0.001	2.51	2.595	6.2842635
0.00104	2.63	2.59	6.302134
0.00122	2.73	2.614	6.21641944
0.00124	2.57	2.616	6.20928384
0.00127	2.63	2.644	6.10950304
0.00127	2.52	2.662	6.04547416
0.00134	2.77	2.638	6.13086616
0.00139	2.82	2.588	6.30928416
0.00144	2.45	2.598	6.27354456
0.00151	2.38	2.536	6.49558144
0.00158	2.57	2.466	6.74756184
0.00168	2.46	2.512	6.58182016
0.00175	2.47	2.55	6.44535
0.00182	2.68	2.526	6.53149464
0.00187	2.57	2.488	6.66822016
0.00192	2.45	2.538	6.48840216
0.00196	2.27	2.536	6.49558144
0.00196	2.72	2.51	6.589014
0.00197	2.67	2.484	6.68263584
0.002	2.44	2.536	6.49558144
0.00201	2.32	2.492	6.65380896
0.00216	2.53	2.498	6.63220056
0.00223	2.5	2.518	6.56024536
0.0023	2.7	2.566	6.38800984
0.0024	2.54	2.552	6.43817856
0.00247	2.56	2.58	6.337896
0.00247	2.46	2.572	6.36652576
0.00254	2.64	2.558	6.41667096
0.00264	2.66	2.546	6.45969624
0.00269	2.47	2.594	6.28783704
0.00271	2.5	2.558	6.41667096
0.00279	2.7	2.554	6.43100824
0.0029	2.46	2.642	6.11662296
0.00298	2.64	2.716	5.85393184
0.003	2.91	2.68	5.981536
0.00301	2.87	2.736	5.78319744
0.00301	2.52	2.692	5.93896096
0.00309	2.74	2.626	6.17362264
0.00311	2.42	2.55	6.44535
0.00316	2.58	2.586	6.31643544
0.00321	2.49	2.57	6.373686
0.00321	2.7	2.848	5.38915456
0.00327	2.66	2.852	5.37514656
0.00333	3.81	2.86	5.347144
0.00334	2.6	2.82	5.487336
0.00339	2.53	2.788	5.59981216
0.00339	2.5	2.574	6.35936664
0.00343	2.5	2.596	6.28069024
0.00345	2.74	2.608	6.23783296
0.00352	2.71	2.634	6.14511384
0.00358	2.59	2.622	6.18788376
0.00367	2.63	2.604	6.25211424
0.00379	2.44	2.566	6.38800984
0.00391	2.65	2.584	6.32358784
0.00393	2.52	2.562	6.40233816
0.00399	2.68	2.592	6.29498496
0.00409	2.52	2.548	6.45252256
0.00418	2.59	2.564	6.39517344
0.00418	2.43	2.544	6.46687104
0.00418	2.6	2.566	6.38800984
0.00427	2.58	2.566	6.38800984
0.00439	2.63	2.594	6.28783704
0.00448	2.59	2.62	6.195016
0.00448	2.57	2.626	6.17362264
0.00457	2.73	2.62	6.195016
0.00469	2.61	2.62	6.195016
0.00476	2.6	2.626	6.17362264
0.00484	2.59	2.568	6.38084736
0.00491	2.6	2.556	6.42383904
0.00493	2.44	2.606	6.24497304
0.00501	2.55	2.596	6.28069024
0.00503	2.85	2.598	6.27354456
0.00503	2.54	2.638	6.13086616
0.00517	2.61	2.708	5.88225696
0.00525	2.64	2.658	6.05969496
